"gene","Compartment","log2FoldChange"
"g25085","A",6.09262098941093
"g10900","A",3.00943921265704
"g21334","A",6.26265800478504
"g14657","A",-2.7130614490309
"g9994","A",2.19590791575697
"g25239","A",14.9036689573507
"g17917","A",3.05093169037426
"g21190","A",-5.55759534899998
"g10238","A",-5.19935110624626
"g7898","A",-3.73618983160081
"g28366","A",14.7847038144781
"g20218","A",-2.14696454409356
"g7273","A",3.95702139648398
"g26181","A",-2.38704183649251
"g15820","A",-3.26562003289447
"g21575","A",4.76876083659173
"g8065","A",-3.04530300711937
"g13208","A",4.79328297137283
"g1157","A",4.66099131122049
"g20863","A",4.91331495891214
"g16922","A",-2.54675894068903
"g5002","A",6.27681958121075
"g8135","A",-4.35912292519873
"g16851","A",3.44007748725752
"g22506","A",8.08885378074164
"g18404","A",-3.19105752325882
"g12885","A",-3.15221545166065
"g29502","A",6.36799105284757
"g27016","A",-2.64952120212362
"g15864","A",-3.64861119720198
"g6609","A",-1.87261743831057
"g6180","A",-2.07803016246672
"g1953","A",7.07326772024204
"g23084","A",3.16689803904499
"g5732","A",-2.86372829240268
"g11265","A",-2.50874921026173
"g11991","A",-2.58078814184813
"g2093","A",-4.56910862567505
"g4707","A",-2.77173154631679
"g14527","A",-2.51884157557281
"g20830","A",4.71559768508879
"g12790","A",-2.59536471074045
"g3029","A",2.48062558430284
"g29710","A",-4.57369381960727
"g9975","A",-4.18240306588614
"g24170","A",4.21034588361856
"g2586","A",2.59769753160376
"g22029","A",-1.96520723814568
"g12811","A",-4.94953686410994
"g24923","A",-2.43260971922715
"g18583","A",-2.24494014299707
"g24945","A",4.09953884345906
"g7132","A",3.14706536771684
"g12211","A",-2.54667569882582
"g5113","A",2.44027642682422
"g12083","A",-4.43232193642629
"g19818","A",-6.27498579714122
"g4925","A",-4.7497234725051
"g24273","A",2.4552508309923
"g20947","A",4.70369214941874
"g5412","A",-2.84662019336193
"g11216","A",-2.68976910369723
"g7931","A",-2.95191240804158
"g17051","A",-4.12305171737213
"g23799","A",2.7365562580204
"g10733","A",2.72753456460514
"g10020","A",2.80982335788975
"g22002","A",2.43453233798148
"g20960","A",-3.26658762903292
"g25073","A",-2.79848502659853
"g10264","A",-2.79219600019331
"g7090","A",2.33188969879547
"g3155","A",2.73549280365005
"g12654","A",-2.62603667809146
"g1590","A",3.34341450242723
"g29119","A",-4.40673685421007
"g27430","A",5.476285926462
"g3172","A",3.39987543877371
"g27395","A",-5.79690502347372
"g10232","A",-3.39875301269012
"g28385","A",5.23016729316753
"g15883","A",-3.55898033212213
"g4764","A",1.9964916750644
"g1015","A",-3.67734977856129
"g2083","A",-3.10226259412156
"g1964","A",-2.25115552120376
"g26269","A",13.7313556458573
"g11403","A",-5.45654130246091
"g14378","A",-3.94801093709512
"g26852","A",-2.39715795281688
"g4162","A",-3.99222972245424
"g2273","A",-3.61863115289189
"g9305","A",-5.35021660563584
"g13554","A",-5.72942306077819
"g16723","A",4.30377686344105
"g19801","A",-6.07163852055387
"g3007","A",2.40445334408225
"g10553","A",-2.66316951134365
"g413","A",-2.51226876330381
"g12054","A",-2.61548432358236
"g26880","A",-2.77919886375815
"g17757","A",2.42258337921739
"g18750","A",-2.54775185657137
"g13365","A",5.92540343295749
"g283","A",3.770229826622
"g19617","A",-5.41709045255226
"g10750","A",3.54957953864919
"g514","A",2.84482561464024
"g1239","A",2.69686934511307
"g16699","A",3.98111769856561
"g419","A",-2.36737847086938
"g26879","A",-3.45070592600374
"g28292","A",-3.95526422660224
"g19706","A",-2.75622084179154
"g21338","A",6.48988643361245
"g6188","A",6.59689781982616
"g17293","A",-2.52067731800698
"g19601","A",-4.3997291075772
"g23790","A",2.8990411054301
"g3184","A",2.6456323546123
"g10785","A",4.82053888135701
"g25278","A",2.2065391004866
"g24226","A",3.08737005714302
"g15955","A",3.35729296869992
"g8998","A",3.23579390768254
"g809","A",-4.69230422676126
"g7192","A",2.58237164976731
"g22577","A",2.3120739503211
"g716","A",-5.40284960777635
"g14989","A",-3.35416705975939
"g3174","A",-2.9707986236841
"g27356","A",3.60170632272853
"g24035","A",2.80427166229896
"g21053","A",2.59681261631114
"g20867","A",-3.80452184668495
"g20667","A",-6.95638258775836
"g20958","A",-3.04525424354491
"g7437","A",-3.8031929061001
"g816","A",-2.60033433405208
"g21922","A",2.93579245977206
"g28809","A",-3.11426013633327
"g11561","A",4.68581137409334
"g20137","A",-5.7975904808996
