"gene","Compartment","log2FoldChange"
"g1796","A",-2.29727648371947
"g27214","A",2.75684313347797
"g19801","A",2.81456615773126
"g4928","A",-3.81028817517542
"g54","A",1.95755472974775
"g9273","A",-1.28235940158822
"g11908","A",-1.43015627788512
"g14656","A",1.49945789181409
"g921","A",2.07903952608607
"g12652","A",-2.50464798621791
"g16882","A",-1.40467300145532
"g14330","A",1.40953410402294
"g2083","A",1.4260603635194
"g24911","A",-1.35452980806503
"g9060","A",1.38351717898605
"g6276","A",2.64841230344083
"g8946","A",-4.09747938101228
"g25202","A",2.96110476871496
"g15809","A",2.26677738203774
"g25138","A",2.55876252596844
"g6186","A",-1.74504839594696
"g8367","A",1.31345468347556
"g26183","A",1.72406984590657
"g21493","A",1.44695386992956
"g22112","A",1.35988198167489
"g1798","A",-2.20808526128514
"g26185","A",1.64112442067801
"g665","A",1.41825533464188
"g28224","A",1.89550593235194
"g17237","A",1.26705812347358
"g1835","A",-2.69437700886497
"g6726","A",1.81751222601176
"g27276","A",6.83282023389381
"g19818","A",2.7079252280373
"g28429","A",2.23923161969098
"g7075","A",2.29989914243488
"g13197","A",3.18365612805203
"g28230","A",1.60430351602992
"g17238","A",1.42381288666885
"g6567","A",1.73571585018326
"g21525","A",2.0096140091678
"g3116","A",1.67547497623264
"g816","A",1.18081139399983
"g27430","A",-1.99633876833777
"g14552","A",3.1487297666706
"g27157","A",6.77275435687576
"g19666","A",1.20525347375462
"g6746","A",2.04398286835968
"g28386","A",1.50131837680361
"g7945","A",1.91805607600823
"g17120","A",1.94138048454075
"g28948","A",2.04991843558898
"g12834","A",2.07310537472351
"g8995","A",-2.05094626102714
"g23187","A",-2.61031872738157
"g23121","A",1.26847388233994
"g10020","A",-1.1518133589494
"g27247","A",6.97986560610812
"g1644","A",1.45952529030254
"g27239","A",5.02644895595205
"g1300","A",-1.65805886389937
"g2069","A",2.4635179160607
"g14989","A",1.47890497501451
"g9095","A",1.82808414700491
"g10321","A",-1.33042624888833
"g15853","A",1.42535189041567
"g21575","A",-1.88109964797074
"g28226","A",1.88005742173077
"g23169","A",1.39969450282844
"g27201","A",2.72143639950582
"g27245","A",5.39322221888931
"g19921","A",1.59722268279721
"g17875","A",-0.917062404741133
"g2134","A",1.99758510173431
"g11594","A",2.56786931579711
"g16486","A",1.08473050568778
"g24975","A",1.17634678222607
"g7994","A",1.14470580184613
"g13570","A",2.02939326741865
"g17377","A",3.02725740075227
"g26941","A",-6.68901914571637
"g16342","A",2.77049334755107
"g8961","A",-2.94638010169798
"g14373","A",1.30213339878067
"g14062","A",3.05820549458979
"g27243","A",4.67007886332578
"g11604","A",1.29687990105887
"g4967","A",2.21266566405921
"g6812","A",2.20102728306382
"g17219","A",-1.44590824716022
"g19519","A",2.36110731338535
"g3028","A",1.3800417355197
"g26228","A",-1.36419780967945
"g7993","A",1.41115973919317
"g4868","A",1.17982920157966
"g16016","A",1.87361389436949
"g12083","A",1.83437212399099
"g22198","A",-1.92586776800211
"g3573","A",-2.18460845080837
"g12811","A",1.98714829416428
"g20295","A",1.29897820101386
"g21505","A",1.67044782665084
"g6456","A",1.75690304882029
"g1787","A",-2.17299089306477
"g18823","A",1.90225513628377
"g6863","A",1.78443956099671
"g15808","A",2.59851187976115
"g15866","A",1.47403950425782
"g7951","A",2.06509308061254
"g10667","A",1.30775548382073
"g22172","A",-1.14645139751586
"g16017","A",2.0548633110837
"g3185","A",-1.16921826586838
"g29686","A",2.40023829998735
"g10707","A",1.72347224378251
"g3132","A",1.60145486874444
"g5390","A",-1.42371967202439
"g12613","A",1.00102223905845
"g14801","A",2.13581971686088
"g1071","A",-1.23701052946438
"g28373","A",2.55180165334894
"g9277","A",1.13360500005997
"g10053","A",-1.58748081094084
"g11903","A",2.07716052047228
"g8983","A",-1.06388642822225
"g12204","A",1.34616825278023
"g7273","A",-1.31360418573706
"g1237","A",-1.56050385313117
"g1607","A",1.37930501500838
"g1253","A",2.29251623457297
"g16805","A",-2.52426888989245
"g4401","A",-1.664154413721
"g1781","A",2.0589202964553
"g21021","A",-1.43137460655521
"g11084","A",1.22030610778775
"g2505","A",1.0731253101379
"g11663","A",1.47392160259952
"g17229","A",-1.28136553685183
"g8118","A",0.982775390268237
"g19604","A",2.03545685191239
"g5862","A",1.20557285217209
"g857","A",1.53159928695171
"g24227","A",1.18545719068976
"g6679","A",1.21027995673449
"g1046","A",-1.50337442761471
"g14580","A",3.02026832401028
"g15943","A",-0.96387024373964
"g17216","A",-4.31170581871656
"g25504","A",1.68930412170773
"g1712","A",1.39307928897562
"g10501","A",1.3712322466114
"g16470","A",1.11873736903509
"g6439","A",-1.46763114575895
"g16037","A",1.08853147612857
"g25223","A",1.33962342904867
"g3538","A",1.65730074475376
"g17784","A",1.37022372345649
"g7396","A",1.40988576150656
"g17917","A",-0.949678750872372
"g7931","A",1.12881568295476
"g2124","A",1.70831158510024
"g17230","A",-1.60015301756424
"g28396","A",-1.59949278916765
"g14896","A",1.07184620516808
"g4723","A",1.95327787727471
"g14830","A",1.99739244583421
"g14378","A",1.51799829184091
"g14784","A",1.64206743522538
"g10058","A",1.49752952114512
"g18833","A",1.26551674563622
"g11756","A",0.932158783535501
"g2111","A",1.69317549657317
"g23783","A",-0.896942266282725
"g18092","A",-2.20959157912742
"g27329","A",-1.14005518042129
"g6013","A",-0.930526460796075
"g10486","A",0.988724560833946
"g406","A",-1.09090661815654
"g6397","A",-1.01608534764662
"g4713","A",2.01453828258036
"g29685","A",1.38269047525112
"g1722","A",1.24909094390691
"g1831","A",-2.2833381352441
"g1329","A",1.35140245226416
"g445","A",-1.1133018814087
"g19644","A",-2.05161650976214
"g19894","A",1.4840794975746
"g6751","A",1.65403863168711
"g6524","A",1.40294389085747
"g3035","A",1.16092419266636
"g55","A",1.12021033178647
"g16521","A",-1.60265529924242
"g5010","A",-3.30997765306671
"g19839","A",1.92580038179907
"g12084","A",1.64380767684881
"g29122","A",1.10055601381274
"g24976","A",1.50072062625879
"g27152","A",4.61845376393201
"g20395","A",1.31126775740173
"g27343","A",-1.26781658759754
"g29381","A",1.64362269591432
"g4862","A",1.2671895887268
"g27396","A",1.97284949167502
"g19855","A",1.61045532087444
"g10775","A",-1.17127545800294
"g16113","A",-0.988745944610906
"g9094","A",1.81111192409213
"g13280","A",-1.70277175214113
"g17084","A",-1.02423927638209
"g1368","A",0.796768969231838
"g25241","A",0.896345479350913
"g1854","A",-2.22789931628673
"g1256","A",1.14820776283633
"g2020","A",1.34306798907343
"g28942","A",-0.820044425655961
"g5894","A",1.28529315843225
"g5268","A",-1.11462064892165
"g4969","A",1.81441311040537
"g14529","A",1.5936890979678
"g14344","A",1.46636366149691
"g348","A",2.02927084005517
"g11357","A",2.4120594599663
"g12227","A",-1.30816721019414
"g10750","A",-1.00375871164788
"g7024","A",1.05090304812321
"g10000","A",-1.27002131593833
"g4924","A",1.91374051338635
"g26833","A",1.65388583756893
"g4325","A",1.67181970345199
"g14782","A",1.51955585280003
"g2302","A",1.17832967272176
"g27184","A",1.95310683276272
"g10307","A",-1.00396929616103
"g5844","A",1.61187242030941
"g8125","A",0.891100732180491
"g11317","A",1.91147528715327
"g19717","A",-1.46418311436155
"g1701","A",1.30080823134456
"g21285","A",-1.67144848182697
"g6184","A",-1.22865384429364
"g11484","A",-1.9771757141725
"g27081","A",1.7476927622115
"g21000","A",-1.56053319662454
"g27249","A",5.8351110180373
"g25174","A",1.96467676240372
"g21067","A",1.40428074082824
"g15803","A",-1.88314327782774
"g11461","A",1.17704793211829
"g20360","A",1.06239164706697
"g12210","A",-1.26988149114613
"g9234","A",1.77242660358662
"g14678","A",1.18507613839919
"g6755","A",1.11419822472682
"g17889","A",1.22577654909211
"g14522","A",-1.50495645104639
"g4829","A",1.22382434857496
"g16218","A",-0.758614487018693
"g21564","A",1.91657244231323
"g3301","A",-0.852352494434537
"g8992","A",-1.22294692626685
"g7718","A",-1.23911932260215
"g1688","A",-1.16277127754385
"g6290","A",1.64483672047786
"g10054","A",-0.803306108917863
"g14679","A",1.46932994736181
"g27024","A",4.14544747460309
"g28241","A",1.47440310560891
"g3200","A",1.08322857362475
"g7745","A",1.24565380931555
"g11024","A",1.61097119257244
"g25147","A",2.09371346365809
"g7173","A",1.05052268267443
"g11212","A",0.997302529731136
"g4292","A",1.40784376753076
"g16651","A",-0.873246126031006
"g11385","A",1.2509587603657
"g4962","A",1.76069397053264
"g22723","A",0.771980250837267
"g16472","A",1.71711897672357
"g2583","A",0.865978263632729
"g2176","A",1.64369344736308
"g28447","A",1.27268732991656
"g20169","A",-1.55700514567541
"g1754","A",0.933559208784259
"g25014","A",-1.00410148967793
"g13315","A",1.48990059634143
"g16448","A",1.08076301455863
"g23303","A",-0.894031750289927
"g10556","A",1.27039085593004
"g5893","A",0.983019234394324
"g5138","A",1.56648273151872
"g19664","A",1.01889706389556
"g22255","A",-1.0473673367649
"g16965","A",-0.98687950219136
"g22577","A",-0.770033436444997
"g6669","A",-1.00501310159481
"g21199","A",-1.8511500920277
"g9040","A",-0.661061228658969
"g16247","A",0.80084977621688
"g82","A",0.903862022521663
"g830","A",1.31075817140156
"g10247","A",-1.12491828861979
"g14441","A",-1.76114918823611
"g4296","A",1.48446026120722
"g15878","A",0.69854832368351
"g17030","A",-1.29556201770319
"g25217","A",1.27391806531904
"g21959","A",-1.24592873449989
"g14436","A",-1.17155892763451
"g29722","A",0.944523829139912
"g24264","A",-1.68116241078355
"g10961","A",-1.25840834522755
"g6072","A",0.703222105137961
"g20417","A",1.04857610601685
"g6310","A",0.953766313902296
"g6728","A",1.87950790899142
"g14228","A",-3.99526453363286
"g24364","A",0.766062215053928
"g24957","A",-1.06364882997499
"g12524","A",0.946123176259831
"g16710","A",-0.905921109560126
"g6644","A",1.65506188783239
"g25113","A",1.94097595041926
"g26893","A",-0.898937466610703
"g873","A",-0.888683076378082
"g7813","A",-1.96318195935708
"g4184","A",-2.57417657782336
"g14084","A",1.01063510053409
"g21015","A",-1.17635049022643
"g16884","A",-1.2384534600919
"g21563","A",0.858891393419624
"g28282","A",1.84365494563493
"g10242","A",1.07456001017449
"g29748","A",0.601255142042238
"g964","A",1.06324584435672
"g1867","A",1.32937231804649
"g24948","A",0.956458968375256
"g5725","A",-1.40387408703961
"g16793","A",-1.10244013466913
"g17004","A",1.07127828997528
"g10218","A",1.27740406211785
"g4183","A",-2.39938282452734
"g16036","A",0.944992838356793
"g20794","A",-1.94772041043909
"g8323","A",0.961026122854639
"g9278","A",0.996263737464274
"g18783","A",-2.8274992804749
"g28399","A",-1.34063239117127
"g29146","A",1.30241700723095
"g6211","A",1.4163956512611
"g17272","A",-0.888174765607828
"g10898","A",2.16704649202249
"g27271","A",5.2431612283668
"g25142","A",1.15183928866846
"g10500","A",2.26076580476523
"g8952","A",-2.29612924692062
"g16885","A",-1.11167459635407
"g19618","A",1.19537105873103
"g21275","A",-1.08291156859853
"g25191","A",-2.65935086529196
"g18400","A",0.731920302254245
"g17757","A",-0.753206740155015
"g1059","A",-1.84813456337544
"g16387","A",-1.38316499857499
"g3507","A",-0.868283720485893
"g11465","A",0.778064869328246
"g16408","A",-1.44401969212109
"g8068","A",0.842654259898509
"g10554","A",1.32546382602499
"g14561","A",-0.777461728670414
"g4717","A",-0.661183933034007
"g14355","A",-1.96370450916997
"g15855","A",1.5195839469816
"g18638","A",1.10625822580738
"g18593","A",-1.57538517414527
"g9059","A",0.855895873012546
"g7470","A",1.5604468656566
"g3133","A",0.852852305958475
"g27025","A",1.78434867100318
"g11147","A",0.851189059793862
"g16726","A",1.50354121144593
