"gene","Compartment","log2FoldChange"
"g11867","A",3.37594937999426
"g6813","A",-1.87724779710846
"g27206","A",1.97064512365489
"g16669","A",3.32079679990848
"g21545","A",2.18970761044225
"g22409","A",-1.62007838909792
"g7906","A",2.29152378116993
"g14656","A",2.02060403115172
"g19696","A",1.69086690079341
"g11200","A",2.34690337272027
"g2414","A",-1.59509762208076
"g17174","A",1.66496221320778
"g27548","A",1.86416354484964
"g19648","A",-3.12465111030181
"g21223","A",2.62492970285821
"g21481","A",-4.36026009462298
"g28239","A",-2.00376858381833
"g23348","A",-1.68846733874293
"g10500","A",4.13625610473755
"g21050","A",1.57621893187637
"g16957","A",-2.10865756099923
"g21923","A",1.76207758668261
"g2860","A",1.44750243365933
"g2014","A",1.20860768497229
"g12622","A",-3.29805398485144
"g15803","A",-3.21982766135998
"g8983","A",-1.62867347419893
"g11594","A",3.62486912756845
"g22399","A",1.83803101235018
"g24403","A",2.01893202935239
"g22199","A",2.67498470061738
"g1967","A",-2.07981982251074
"g22707","A",2.27621347826529
"g3627","A",-2.174106599146
"g13361","A",3.00795492310718
"g14713","A",-1.86824664656729
"g23354","A",1.71154549158069
"g1410","A",1.50237794861398
"g5880","A",2.08052189798949
"g4244","A",1.66367253325407
"g24267","A",4.01207940358453
"g2079","A",-1.93899040210183
"g25223","A",2.044007638006
"g22344","A",5.60761574113619
"g7470","A",-3.63973488301141
"g11533","A",3.01082282536861
"g809","A",-2.94024845170183
"g10133","A",1.86317741110544
"g13279","A",-3.98837220465407
"g27236","A",4.31251015847166
"g2206","A",1.0506070068824
"g8154","A",-1.73266955527972
"g24223","A",1.69284054580337
"g2274","A",4.40214824345084
"g23313","A",-1.38874217217036
"g5881","A",1.70521992846036
"g13571","A",-2.98714630698522
"g22766","A",-1.37750723148648
"g2160","A",1.1852011003266
"g1353","A",2.56910556746486
"g28429","A",2.91672031399051
"g28897","A",1.55368903686566
"g26871","A",1.4381854925198
"g9200","A",3.09774816169351
"g22537","A",1.98730002171397
"g21525","A",2.60495680842973
"g13257","A",-2.39536515125666
"g26190","A",1.96687210738493
"g8868","A",-2.32326864232431
"g10871","A",-2.41517677523399
"g17258","A",2.9999838286154
"g12822","A",1.56872674472398
"g27273","A",5.09764116462921
"g2170","A",1.79664021835898
"g7981","A",-1.18052217615247
"g1607","A",1.958110420099
"g878","A",1.5242575257918
"g5256","A",-1.38120956395144
"g3251","A",1.38821292739089
"g448","A",1.12306778951244
"g15895","A",-1.49577870818416
"g11024","A",2.56861487509773
"g9182","A",2.52800231420208
"g8988","A",-1.8716693200063
"g8996","A",-4.20718839379117
"g12638","A",1.27678076639861
"g17272","A",-1.53545999059162
"g10707","A",-3.0932925004361
"g27278","A",4.32222555632879
"g14653","A",1.81442712004452
"g1279","A",3.45502255907974
"g5625","A",-1.38323110916943
"g1836","A",-2.97700960580633
"g21985","A",1.15341866045703
"g186","A",3.1266879482129
"g18000","A",-2.29277032252305
"g17149","A",-2.0136776186031
"g16343","A",2.17423002661421
"g17051","A",2.21836826775205
"g47","A",1.73578304676985
"g8343","A",1.35217114478243
"g6341","A",1.72946147146253
"g17854","A",1.03426149690178
"g8995","A",-3.04248854423859
"g27550","A",1.53638363560005
"g11346","A",3.24734652394538
"g16118","A",1.0753451771661
"g20058","A",-2.45124205995791
"g16398","A",1.54497801426184
"g3079","A",1.38425218107047
"g15866","A",1.95220608981838
"g6287","A",-1.18617214339495
"g13264","A",-1.52960649524575
"g8382","A",3.26088450359853
"g24297","A",2.0994124561911
"g15874","A",-0.94398563436449
"g27149","A",4.34348663809769
"g11142","A",1.27123197851188
"g20664","A",4.94044226161597
"g12813","A",-2.48888915653646
"g20284","A",1.68561722759926
"g22121","A",1.1826536791294
"g11276","A",2.60447709891656
"g12102","A",1.30439065040515
"g6674","A",1.30767132085745
"g7129","A",1.2357320205306
"g5138","A",2.43028219215552
"g1333","A",2.1862446001268
"g7479","A",-1.55928749437227
"g20760","A",6.26051043267883
"g28430","A",4.68976699675123
"g21109","A",-0.971206036270373
"g27534","A",-3.12112681207519
"g27536","A",-3.1778047802242
"g20177","A",-2.33255421272444
"g26995","A",-7.82910979907184
"g12734","A",-7.4739931641836
"g2015","A",2.54779038788958
"g10886","A",2.06585191995938
"g4412","A",-1.92967029331717
"g6766","A",2.51081164627576
"g11991","A",1.3169294642725
"g10646","A",1.4425145420651
"g7499","A",1.1376714543697
"g16713","A",1.46514444404448
"g7125","A",-3.69774488442962
"g8855","A",2.16348330822784
"g7410","A",1.31288890850272
"g28393","A",-2.11174244804766
"g9195","A",1.91258832831447
"g29601","A",3.83910790747996
"g1285","A",2.956780801662
"g21302","A",1.31626667650883
"g16612","A",-1.84704726281145
"g18001","A",-1.95909376817155
"g183","A",-1.67608684812199
"g8367","A",1.50720873036684
"g7289","A",2.28470133520716
"g20642","A",-1.82607448457605
"g6670","A",-1.30950539117902
"g12652","A",-3.55946134711017
"g27207","A",2.12680248296501
"g23121","A",-1.80284937168306
"g16028","A",2.303499727174
"g26205","A",1.6804014801364
"g819","A",1.55644890288274
"g4917","A",1.3001098560843
"g7353","A",-4.54420405147447
"g5862","A",1.61383157030581
"g5712","A",1.94809487262864
"g18400","A",1.15758831234713
"g2114","A",-5.38072552130714
"g3538","A",2.16869257567769
"g29120","A",2.43333474387046
"g12758","A",-2.02846996991073
"g24254","A",-1.29229457878412
"g3267","A",-1.39759315772151
"g18597","A",-1.41398470763604
"g895","A",1.35191237179245
"g2020","A",1.85600626333589
"g7865","A",1.93105556863897
"g14929","A",3.35990721778218
"g15857","A",1.86893281356188
"g11462","A",1.47573939186747
"g16691","A",1.6860561926076
"g17328","A",1.79044332191963
"g11204","A",0.992078363396292
"g4866","A",-2.22518606876292
"g11666","A",2.24326038552658
"g16016","A",2.26735530116527
"g26259","A",-1.79509339422203
"g8865","A",1.21743303520821
"g20720","A",-2.20675027727487
"g24339","A",-1.41026008658433
"g22564","A",1.05278276698756
"g11386","A",1.3131578531399
"g1739","A",-1.66837547436091
"g7702","A",-1.4385423263933
"g17215","A",-1.81224248175252
"g21294","A",-1.56618437832428
"g6738","A",1.38699912273085
"g7396","A",-2.05162695823608
"g27039","A",1.22643457428017
"g2095","A",2.51406092716746
"g1146","A",1.90383700362346
"g4063","A",1.66263175246012
"g9999","A",-1.70542559967484
"g19727","A",-2.84424205011042
"g5281","A",2.21769350075062
"g192","A",2.6086177958637
"g7173","A",1.4771031192982
"g12844","A",1.38857121653001
"g7232","A",-4.31409703340087
"g19786","A",1.81842008828763
"g3943","A",-1.00074250719447
"g13198","A",-3.01454483764187
"g13206","A",1.83228378161371
"g22601","A",1.15995849231132
"g4410","A",2.24309311636074
"g10491","A",2.93021096176846
"g4732","A",-1.37841649950693
"g11103","A",1.60157662470166
"g2684","A",0.882203352793339
"g12008","A",1.47582174536401
"g29722","A",1.37643927339169
