gene_id,zoospore-A,zoospore-B,germinating cyst-A,germinating cyst-B,mycelia_48h-A,mycelia_48h-B,mycelia_96h-A,mycelia_96h-B,Early infection-A,Early infection-B,Late infection-A,Late infection-B
g18824,118.2760927,35.18401724,329.5463729,432.3013232,111.0362587,98.6217423,584.751671,1115.359232,877.927239,1434.828227,868.3227712,511.8300657
g18825,3.689966349,2.55096078,183.4947169,178.2154812,105.5152587,114.8794567,29.76372687,44.85494488,33.47583822,38.41697909,30.76675461,27.37291253
g18826,40.37860081,15.51776686,75.71287008,112.2134253,20.8063818,9.556723155,118.4407537,208.5600183,149.4169413,92.22805044,280.4617567,159.5628678
g18827,8.921727923,8.559252165,5.474414637,4.221307141,2.163408283,1.312845638,3.498987504,5.308974266,3.138159491,3.802750122,5.571043454,5.366784238
g18828,33.78429536,38.48971885,11.79977455,13.97965352,3.381879615,2.285323888,5.495791891,8.135830694,3.841867983,4.607178033,6.890501114,6.984171269
g18829,63.37431549,44.39603558,1.58028437,1.110653013,0.881615985,0.738810972,7.731966409,7.537036066,5.009064129,5.370622512,8.167851154,7.322918704
g18830,80.57001837,69.73687758,45.57284723,46.03895253,39.58328769,32.49630052,78.33140381,110.8225444,68.69002529,94.14428574,122.1284754,94.89164816
g18831,8.669344749,8.377479401,10.2998722,14.93031421,9.513376334,6.936430067,43.79316429,68.96178555,43.78071509,41.72924694,72.24868909,44.65188223
g18832,2.667198972,2.928392023,0.358841317,0.624195738,2.01335924,1.230274322,9.131188509,19.75650706,5.870876663,5.180891949,10.94276376,6.04542301
g18833,58.56473938,26.23886378,9.768357129,8.101961188,17.8690942,15.65744693,6.259173617,7.057880159,17.04511597,10.28702947,31.40635023,41.81486258
g18834,3.346556536,2.153119559,10.46060291,10.40618868,32.87239027,25.4145086,5.613385863,5.98283881,16.477805,7.213314639,6.062618241,12.8086051
g18835,52.52880118,61.50379939,3.48829201,3.153515644,14.40266475,11.28434947,4.287773109,6.769644435,2.942567508,3.336284256,5.815990783,8.020376016
