,zoospore-A,zoospore-B,germinating cyst-A,germinating cyst-B,mycelia_48h-A,mycelia_48h-B,mycelia_96h-A,mycelia_96h-B,Early infection-A,Early infection-B,Late infection-A,Late infection-B
g25492,948,742,9,4,71,102,2,4,0,0,0,2
g25493,1,3,0,1,35,33,0,0,2,0,1,0
g25494,946,946,96,124,279,342,314,530,247,358,94,226
g25495,44,48,822,715,582,408,846,990,721,884,116,256
g25496,18,17,91,97,22,20,310,916,305,326,104,213
g25497,115,88,105,105,67,77,255,264,306,296,67,136
g25498,8,11,7,7,7,6,14,33,16,25,6,12
g25504,15,7,181,77,882,982,188,185,372,588,49,106
g25506,3,1,1,0,0,1,0,1,5,2,3,7
g25507,11,8,80,53,278,298,472,335,349,429,191,310
g25508,0,0,0,0,7,3,0,0,2,1,0,0
g25509,7,3,13,36,77,83,563,311,363,360,26,33
g25510,22,23,45,76,209,152,63,60,51,103,12,28
g25511,30,32,29,26,20,13,6,13,13,7,1,3
g25512,12,505,9,14,150,308,119,221,89,89,92,126
g25513,519,597,265,305,131,74,319,649,228,380,105,179
g25514,62,36,43,45,40,23,177,339,118,220,33,80
g25515,189,179,194,180,147,111,218,426,164,246,48,108
g25516,613,311,223,188,397,457,292,437,224,265,96,187
g25518,1519,1390,210,264,346,317,372,598,404,465,271,662
g25519,130,91,119,123,252,196,661,689,441,448,146,396
g25520,112,82,1,3,2,2,24,62,9,13,6,7
g25522,31,27,8,13,6,10,295,285,198,135,45,90
g25523,0,3,0,0,0,0,1,8,1,4,0,1
g25524,82,113,22,21,76,65,190,380,173,192,66,139
g25525,12,61,4,2,13,5,90,167,65,69,39,71
g25526,0,2,0,0,0,0,78,199,48,104,56,57
g25529,1,10,1,0,1,0,4,13,2,2,16,14
g25530,100,1029,17,5,26,17,21,41,12,13,5,16
g25531,2981,3622,260,267,720,650,470,618,521,640,194,538
g25532,17,10,27,23,56,43,50,44,32,24,5,16
g25534,73,30,25,27,347,366,66,98,69,76,20,45
g25535,6,8,6,7,44,30,55,48,40,47,8,17
g25536,107,118,175,201,258,247,219,363,176,215,47,121
g25537,8,4,5,5,24,8,13,17,17,24,16,44
g25539,6,3,7,26,54,30,306,598,389,733,90,301
g25540,3,2,5,6,107,62,129,157,82,50,20,61
g25541,4,4,1,2,4,6,114,218,135,137,70,145
g25542,48,11,21,22,43,30,287,488,231,257,306,847
g25543,12,5,8,15,7,8,28,33,33,82,15,47
g25544,8,13,8,47,29,19,16,18,17,20,5,18
g25545,5,4,27,45,21,10,5,10,5,2,4,3
g25547,7,4,2,0,3,0,1,1,0,0,1,2
g25548,320,332,9,12,8,4,1,1,0,2,0,5
g25549,50,30,0,0,0,0,1,6,0,1,0,1
g25550,5,6,0,4,0,3,17,32,17,22,4,6
g25551,773,922,71,68,126,154,324,536,280,320,53,153
g25552,0,0,1,0,0,0,0,0,1,0,0,0
g25555,125,77,31,27,37,37,60,149,60,92,20,32
g25556,336,257,7,4,5,0,36,45,50,46,10,26
g25557,74,76,8,18,11,12,108,136,47,65,14,46
g25558,15178,14194,19213,21658,18570,22259,21332,22124,25399,24649,4825,9659
g25559,95,95,16,20,20,16,61,152,51,53,10,16
g25560,95,82,11,16,35,34,33,49,16,29,18,19
g25561,89,95,31,41,66,65,26,26,19,25,9,25
g25562,5107,5498,837,253,135,78,618,728,351,625,85,194
g25563,348,440,69,60,77,41,67,119,60,68,12,29
g25564,158,192,166,117,264,166,313,491,230,313,46,105
g25565,92,61,50,18,26,14,103,127,110,70,16,27
g25566,169,114,96,66,75,48,56,129,44,58,17,48
g25567,65,53,17,34,34,22,83,123,97,78,25,62
g25568,16,12,26,38,29,19,123,163,97,98,58,55
g25570,263,159,64,79,156,115,255,320,175,224,107,131
g25571,34,15,2,5,122,97,290,409,252,187,108,403
g25572,19,2,36,76,66,26,46,59,27,29,7,21
g25573,532,417,555,662,895,830,2098,2383,1949,1888,514,1301
g25574,6,8,87,105,63,54,76,84,145,89,32,75
g25575,2,1,105,87,114,124,23,25,62,46,4,8
g25576,27,19,35,37,108,90,10,14,12,23,2,9
g25577,144,136,105,160,135,91,254,492,170,264,70,125
g25578,2891,2312,276,301,236,216,208,281,280,276,61,138
g25579,1665,885,283,282,473,392,450,660,681,623,177,460
g25580,0,0,0,0,0,1,0,0,0,0,0,0
g25587,37,60,17,16,41,40,13,16,23,20,1,12
g25588,1,0,1,3,70,72,42,6,57,56,24,58
g25589,1058,955,119,153,459,549,97,131,71,90,25,86
g25590,63,40,1090,849,659,536,1010,1191,819,949,115,227
g25591,27,17,81,127,39,30,474,1693,436,539,147,345
g25592,175,169,176,196,151,152,54,74,56,76,11,31
g25593,40,28,0,5,2,7,26,54,15,16,9,12
g25594,21,20,0,0,2,6,27,261,33,32,11,26
g25595,15,27,0,0,5,1,11,68,9,14,1,11
g25596,0,0,0,1,2,3,13,9,6,4,1,1
g25597,31,22,1,0,2,1,18,57,9,16,3,9
g25598,1,0,0,0,0,1,6,13,10,0,0,0
g25599,699,553,132,188,344,327,482,628,388,466,266,412
g25600,121,66,225,408,894,1402,412,572,529,505,156,505
g25601,12,10,0,3,10,17,24,53,15,32,18,17
g25602,3430,2535,1623,2240,3199,3369,1682,2725,1516,2676,812,1534
g25603,73,70,80,97,121,112,513,673,383,287,106,224
g25604,1,0,0,0,0,0,2,3,1,0,2,4
g25605,3,2,181,237,46,31,29,11,85,32,9,90
g25606,34,46,7,10,9,7,4,4,9,4,1,7
g25610,0,1,0,0,0,0,9,5,6,5,0,1
g25611,0,0,0,1,0,0,0,0,0,0,0,1
g25621,0,0,0,0,0,1,0,0,0,0,0,0
g25622,5,4,361,326,561,561,173,85,251,205,11,24
g25623,103,21,7,9,8,5,106,119,94,77,17,64
g25624,0,1,0,0,299,111,16,16,36,13,100,266
g25625,0,0,0,0,3,0,9,17,6,3,11,12
g25626,656,401,127,75,42,24,352,340,372,367,62,169
g25628,1,0,0,0,0,0,0,0,0,0,0,0
g25629,445,284,906,1721,733,600,887,2143,905,901,273,545
g25630,172,66,115,307,179,154,367,987,260,290,83,158
g25631,28,36,24,40,55,35,237,279,172,130,35,121
g25632,8,7,0,2,0,1,0,0,0,0,0,0
g25633,0,0,0,1,0,0,2,2,2,0,0,0
g25637,0,0,0,0,0,1,9,0,1,2,0,0
g25640,28,16,66,77,113,125,269,532,178,279,73,133
g25641,3184,3439,6521,6263,7303,5486,6396,8318,7761,10039,1547,3447
g25642,449,257,0,1,26,15,83,113,68,47,122,156
g25643,3,5,3,7,5,7,14,25,17,15,0,2
