,zoospore-A,zoospore-B,germinating cyst-A,germinating cyst-B,mycelia_48h-A,mycelia_48h-B,mycelia_96h-A,mycelia_96h-B,Early infection-A,Early infection-B,Late infection-A,Late infection-B
g22,238,113,2098,1975,2676,1831,2047,2436,1544,1733,402,1091
g23,5,5,926,1109,905,389,109,69,44,55,7,64
g24,31,9,0,2,4,0,15,36,6,7,16,26
g25,118,64,172,351,426,313,1419,2046,1115,953,897,1797
g26,1003,792,429,552,603,366,1322,2368,1156,1814,520,941
g27,856,832,443,556,741,894,1114,1494,785,1033,432,831
g28,262,301,225,214,214,172,413,611,349,408,100,215
g29,1971,1526,5665,5429,9242,8792,3622,5202,5147,6778,1505,3007
g30,192,103,34,49,180,193,192,341,217,213,82,190
g31,615,481,706,787,1305,1309,1317,2073,1176,1749,409,693
g32,1216,420,110,231,249,264,491,634,607,423,317,425
g33,341,324,104,99,89,60,177,218,200,133,65,76
g34,0,2,0,0,0,0,0,1,0,1,0,0
g36,0,0,1,7,2,5,0,0,0,0,0,0
g37,105,82,49,125,64,59,0,0,0,0,0,0
g39,0,0,3,3,3,0,0,0,0,0,0,0
g41,0,1,1,2,4,5,0,0,0,0,0,0
g42,39,23,17,36,25,17,0,0,0,0,0,0
g44,0,1,1,5,1,5,0,0,0,0,0,0
g45,116,91,64,94,73,59,0,0,0,0,0,0
g46,255,175,1087,1465,1061,790,4796,5159,3255,2550,747,1689
g47,5044,3013,522,461,646,529,681,536,695,682,360,1162
g48,294,151,762,664,751,593,766,1098,822,910,195,483
g49,2615,2628,5064,4084,1503,1319,2352,4116,2163,2939,409,806
g50,267,183,93,95,136,107,340,334,279,271,58,153
g51,237,156,95,75,165,159,211,262,150,187,28,67
g52,225,244,77,97,181,179,125,132,102,110,21,38
g53,196,187,119,105,341,306,245,331,305,371,67,108
g54,140,73,62,39,190,133,44,96,151,271,13,21
g55,315,315,65,80,224,199,81,176,147,290,23,46
g56,224,276,160,195,155,161,382,694,317,353,68,178
g57,293,190,94,97,208,160,605,739,677,631,181,405
g58,1498,1401,542,540,522,454,1161,1406,1013,1153,314,765
g59,214,207,2,5,14,11,162,173,106,111,118,103
g60,101,101,93,136,246,216,347,394,295,315,59,173
g61,335,224,24,22,287,234,125,130,434,377,57,72
g62,186,100,0,3,6,10,196,221,301,310,96,234
g63,28,19,1,1,3,5,48,70,36,24,4,17
g66,225,173,283,258,180,147,195,257,185,172,26,33
g67,9,10,247,212,537,503,388,304,361,313,13,10
g68,40,20,152,188,151,155,159,177,179,217,24,54
g69,388,193,113,337,42,26,504,303,1163,1033,174,335
g70,1410,1035,1532,905,1826,2423,696,1349,1394,2128,287,768
g71,111,59,408,584,785,624,1803,2238,1436,1314,455,1157
g72,45,43,90,169,66,71,227,323,143,147,51,117
g73,1724,928,18,33,42,42,163,228,142,104,44,94
g74,230,151,176,322,365,338,2657,3113,1900,2489,466,669
g75,44,33,40,57,199,161,508,533,450,311,86,212
g76,22,20,59,95,1474,3195,893,984,852,1016,246,409
g77,98,101,243,300,3464,4742,6972,5493,5185,4410,2144,3826
g78,216,159,197,223,339,312,386,407,324,309,100,253
g79,4,3,0,0,2,1,26,35,15,12,8,9
g81,109,159,166,255,158,151,277,269,239,259,73,153
g82,1078,943,5691,4354,4895,5589,3570,5102,5675,7185,417,882
g83,392,329,211,248,199,185,245,293,222,326,52,122
g84,769,615,205,154,983,799,4002,5068,2333,3609,2518,3589
g85,539,362,2439,2559,2184,1465,1780,3439,1750,1977,547,1228
g86,57,65,92,114,105,123,484,526,496,406,116,189
g87,219,55,70,81,329,293,281,644,253,254,115,249
g88,7,12,3,3,3,2,233,343,149,98,76,158
g91,320,210,319,528,283,174,1314,1610,1141,1065,439,853
g92,2843,391,4436,8294,12747,9120,28436,29391,28141,34299,14837,31298
g93,1584,1092,410,437,708,629,885,1346,1121,2054,347,443
g94,1366,2593,519,448,2435,1489,1272,1209,808,942,485,675
g96,0,1,0,0,0,0,14,9,4,5,4,3
g97,0,1,0,0,0,0,230,155,154,57,58,225
g98,67,96,570,477,466,520,367,439,273,326,43,87
g99,1376,1604,403,367,318,195,805,1111,545,800,186,403
g100,2168,2056,904,937,156,95,1122,1945,840,1324,230,434
g101,7558,7292,376,545,345,263,1346,1934,833,747,297,688
g102,154,127,124,180,103,111,304,424,174,170,78,126
g103,1175,1215,486,567,187,85,1051,1642,836,1342,211,378
g104,2534,3041,1595,2314,4715,3279,2165,1988,1693,3124,482,819
g107,0,0,0,1,0,0,0,0,0,0,0,0
g123,313,263,761,833,917,655,1070,1242,896,1051,214,466
g124,110,98,173,186,347,392,630,1139,492,568,170,328
g125,396,317,111,110,224,149,420,289,411,396,116,207
g126,234,198,55,85,128,75,178,245,132,139,307,340
g127,12,9,39,37,40,15,85,109,71,47,14,38
g128,296,237,210,193,383,330,517,571,389,376,153,244
g129,1104,1555,203,305,415,291,1373,493,991,637,357,460
g130,123,150,123,186,547,443,416,704,309,652,103,175
g131,118,90,248,255,360,291,423,665,375,411,98,226
g132,1964,919,997,1129,1529,1247,1465,1235,1419,1924,484,1315
g133,302,164,46,77,390,481,351,490,287,430,144,392
g134,374,227,197,243,633,645,984,760,1046,1037,188,373
g135,296,242,81,96,246,274,102,113,149,146,20,111
g136,430,187,2167,2614,2739,1853,7439,9177,5991,5762,1574,3632
g137,205,194,4,1,12,5,28,89,10,13,17,19
g138,195,198,155,150,64,35,601,965,489,461,125,353
g139,9773,12400,2784,2299,4308,6497,1898,3269,1927,2738,903,2046
g140,71,55,70,98,58,78,198,186,129,130,47,69
g141,503,333,137,174,180,154,408,296,369,294,62,187
g142,658,616,1352,1102,373,292,1462,2243,1580,1802,252,509
g143,128,68,441,488,908,713,718,874,752,720,154,453
g144,442,412,216,358,204,128,1055,1948,719,864,481,629
g146,497,185,106,188,265,257,565,1174,510,601,346,513
g147,298,419,1441,1158,11736,18171,1036,1126,1447,2212,415,510
g148,8,15,8,13,176,223,38,84,28,34,14,20
g149,1076,1047,214,240,264,219,338,546,278,274,67,197
g150,166,180,64,77,44,34,125,219,108,95,31,67
g152,67,31,17,40,95,109,83,100,85,57,26,50
g153,17,11,5,9,19,13,25,37,28,21,8,13
g154,53,6,287,242,2929,1423,360,162,252,229,6,8
g155,35,44,32,60,80,72,56,78,72,36,24,65
g156,0,0,2,1,0,0,35,12,21,27,0,4
g158,0,0,0,1,0,0,22,10,14,11,1,5
g161,151,117,14,43,17,10,59,109,44,38,10,20
g162,1709,1488,1482,1246,1645,1741,1276,1718,1395,1596,121,351
g163,44,17,0,0,18,5,25,73,9,10,6,11
g164,105,113,15,33,38,65,73,133,70,46,16,27
g165,213,148,174,203,189,180,495,635,436,436,116,309
g166,2421,2145,731,576,1319,1543,936,1058,952,923,302,666
g167,1677,1558,842,818,232,125,931,1656,780,1254,231,405
g168,528,514,829,947,2162,1856,832,1152,930,914,225,624
g169,107,97,146,160,116,49,203,293,185,204,49,115
g170,986,728,1457,1244,1965,1954,1051,1227,1123,1113,232,732
g171,152,196,263,238,333,278,537,677,538,487,157,448
g172,40,26,77,75,108,127,128,188,103,111,31,58
g173,392,289,554,586,1370,1639,1995,3152,2837,3616,1346,1828
g174,27,17,3,3,5,9,129,131,133,152,41,53
g175,0,0,1,0,0,0,429,592,386,500,153,305
g176,0,0,1,0,3,0,2,2,0,0,1,1
g177,6,8,5,13,27,37,74,70,57,45,6,23
g178,963,1084,1081,818,1848,2935,2933,2994,3908,6575,2388,2901
g179,586,368,84,152,256,185,305,817,552,1507,341,241
g180,132,86,84,102,490,413,870,1113,730,975,403,691
g181,11,9,4,18,110,121,79,184,74,169,54,65
g182,34,24,13,22,81,39,205,295,180,258,30,48
g183,19,18,20,27,106,58,443,416,348,282,33,59
g184,23,8,39,69,117,86,179,195,181,156,60,114
g185,9,10,42,47,148,81,419,386,342,236,111,236
g186,65,103,1,0,9,5,34,23,25,12,65,103
g187,227,207,50,55,101,105,143,153,169,153,41,113
g188,2,0,0,0,1,2,30,40,15,29,2,5
g189,9,6,9,3,17,15,61,68,51,55,4,15
g190,26,5,19,34,100,68,447,448,295,306,31,61
g191,38,23,83,132,280,189,638,658,583,435,134,391
g192,71,94,0,0,13,3,34,32,22,13,52,84
g193,542,354,194,164,344,321,378,380,415,328,91,211
g194,211,42,691,1539,1096,691,2203,4271,2564,3742,1661,2245
g195,291,166,247,633,421,340,792,708,766,518,161,433
g196,29,16,169,250,241,133,666,380,939,353,174,368
g197,11,3,6,7,14,21,98,140,97,138,24,70
g198,164,93,101,192,1859,2032,532,726,493,698,235,624
g199,774,721,1380,1582,1644,1428,2199,2879,1897,2066,530,1130
g200,482,335,15,51,61,31,140,120,81,90,31,62
g201,41,23,16,38,43,27,146,291,156,123,68,98
g202,1208,668,5192,3952,3904,4594,1587,2246,2411,2873,545,956
g203,491,464,239,349,136,112,401,627,300,359,117,194
g204,119,126,450,664,336,244,267,301,243,278,57,79
g205,25,25,184,252,173,133,185,175,158,200,32,62
g206,6653,6183,1880,1882,3326,3369,3233,4339,2963,3571,1613,2860
g207,78,84,2,2,0,3,61,137,37,41,43,52
g208,26,25,0,0,0,0,6,8,3,5,1,7
g209,1896,1777,1843,1628,477,301,1801,3463,1322,1517,302,607
g210,6,8,2,4,6,8,55,53,46,32,14,53
g211,334,275,315,350,535,394,473,842,435,508,139,370
g212,1692,722,4617,7659,2256,1575,12057,20498,10563,13317,4809,6275
g213,329,323,348,375,234,179,751,1259,622,627,188,428
g214,10787,11798,10,17,37,28,71,100,50,24,19,29
g215,1314,1433,164,186,125,86,87,163,84,91,23,51
g216,59,56,18,33,42,30,201,193,186,141,20,44
g217,175,135,62,63,50,42,133,135,105,55,30,61
g218,88,72,67,97,57,37,221,214,200,197,43,91
g219,85,68,271,334,312,229,525,595,676,440,125,339
g220,139,132,92,91,90,74,251,295,255,335,77,173
g221,128,180,132,215,230,139,272,349,301,297,43,210
g222,2167,4089,4697,5464,3541,2681,9065,9005,7322,6706,1594,4037
g227,0,0,0,0,0,1,0,0,0,0,0,0
g235,0,0,0,1,0,0,3,4,15,17,1,2
g247,1391,1477,3590,4302,5818,5462,14035,13917,10162,9645,3337,7549
g248,47,25,53,89,114,94,645,767,503,422,136,413
g249,497,404,108,124,224,222,162,319,160,243,57,127
g250,650,483,506,622,384,217,838,1168,811,911,187,372
g251,45,35,0,1,10,12,12,17,5,6,3,19
g252,533,619,200,291,169,140,550,797,492,578,104,167
g253,577,1066,83,129,623,435,482,750,347,224,51,145
g254,157,198,23,20,233,173,204,305,130,94,28,42
g255,168,159,178,201,506,322,2228,2070,1228,1351,351,793
g256,18,65,6,9,386,250,209,527,54,144,87,160
g257,24,20,5,5,46,21,67,154,64,62,47,60
g258,386,278,111,154,149,105,243,350,183,162,55,149
g259,545,463,257,336,489,592,666,700,435,408,90,268
g260,25754,25499,28646,33654,31493,34967,34545,25983,37486,35928,9971,18586
g261,10580,11090,7467,4926,2144,1840,2160,3890,2299,3847,520,866
g262,8,26,2,16,15,6,163,188,137,94,31,38
g273,0,0,0,1,0,0,275,244,303,350,58,192
g274,1,0,1,1,1,1,1345,963,1648,1546,436,910
g275,1,1,0,0,1,2,0,1,0,1,0,0
g276,3,8,1,0,8,12,16,2,7,3,2,3
g278,5,4,8,4,6,7,14,4,3,6,4,3
g279,1709,1380,537,445,2803,3348,1061,1063,1229,1854,220,442
g280,16,7,4,3,22,21,36,65,36,26,4,22
g281,65,54,37,42,52,18,197,261,216,190,62,150
g282,112,93,20,21,29,15,79,165,91,84,30,43
g283,448,428,88,127,33,13,501,699,411,473,76,92
g284,66,45,89,111,137,145,258,401,234,196,70,115
g285,67,46,100,133,358,308,378,369,283,247,109,215
g286,341,447,366,319,536,531,396,404,354,500,72,174
g287,951,948,1222,1228,954,816,3090,3050,2974,2505,458,1159
g288,152,149,363,363,323,316,466,504,515,396,76,173
g289,31,10,3,2,1,2,29,12,12,18,5,3
g290,9,1,9,10,41,16,531,13,118,53,10,89
g291,133,110,124,131,217,175,456,482,354,310,138,259
g292,123,109,107,112,142,137,247,297,193,159,52,94
g293,234,228,276,339,323,252,536,722,413,468,76,204
g294,1219,1339,4267,3478,7659,11752,871,1142,1163,1703,113,305
g295,45,21,15,19,64,64,117,198,65,64,18,43
g296,244,106,9,13,91,80,94,135,69,89,22,33
g297,0,0,0,0,1,1,84,149,76,90,32,46
g298,127,153,23,15,69,69,62,167,70,55,24,61
g299,646,576,457,447,1024,944,681,969,725,821,280,666
g300,9889,11125,2361,2734,1960,1685,2539,3538,2697,2973,1000,2005
g326,71,26,533,569,964,743,997,1239,984,1210,282,504
g327,30,10,20,31,56,61,166,223,112,193,24,20
g328,154,40,880,644,1911,2372,1346,1566,1417,2380,157,94
g329,39,17,3,12,40,46,98,215,100,141,7,9
g330,20,16,0,1,2,2,6,12,5,4,0,3
g331,57,34,0,0,0,2,11,13,6,8,0,8
g332,95,18,1,1,2,2,11,21,3,8,4,5
g333,146,113,3,4,9,8,60,136,89,88,32,42
g334,15709,10629,2066,2862,2870,2145,3266,4753,2998,5256,1869,2677
g335,0,2,1,0,0,0,1309,2121,770,1356,1100,1737
g336,719,296,4243,6251,7184,4876,6375,5065,5580,4995,986,3736
g337,47,37,86,86,70,59,148,148,94,91,33,72
g338,44,27,39,47,26,24,419,428,251,232,59,148
g339,312,195,105,124,178,158,232,408,218,217,60,157
g340,0,0,0,1,1,0,0,2,2,2,0,0
g341,809,640,28,52,424,320,122,180,135,146,46,160
g342,31,19,480,490,103,65,162,116,504,406,10,49
g343,256,197,190,139,31,18,5,15,13,7,18,12
g344,24,19,26,37,28,23,93,163,104,88,21,65
g345,8,7,25,27,60,37,333,147,143,93,125,376
g346,50,11,1960,1748,3051,2738,129,105,243,166,54,169
g347,35,24,26,28,103,73,53,72,35,47,35,104
g348,227,23,537,598,871,627,231,127,494,614,124,236
g349,0,1,0,0,0,0,908,1175,567,419,72,164
g351,91,38,13,13,67,24,83,72,79,47,14,36
g352,782,518,16467,14467,13711,11740,12204,14829,10940,11080,3166,9686
g353,597,615,427,421,129,77,545,922,479,612,70,154
g354,87,61,60,85,250,242,921,1098,859,772,319,705
g355,2343,1921,783,799,1312,1216,1938,2121,2207,2704,899,1666
g356,50,20,1,2,10,2,24,49,38,38,15,16
g357,1021,908,176,223,144,83,518,861,489,625,162,313
g358,65,80,9,20,19,13,49,87,27,42,10,16
g359,105,76,56,87,60,69,172,315,153,140,63,95
g360,74,107,99,98,54,35,263,359,238,285,57,97
g361,1146,1382,163,172,76,68,234,375,134,205,44,88
g362,542,550,120,182,98,73,210,404,197,230,32,89
g363,585,866,193,253,300,257,149,312,142,170,48,73
g364,2081,2087,1297,1298,2273,1901,1762,2418,1796,2297,565,1313
g365,10,9,15,9,46,39,121,129,95,108,43,78
g383,1,1,2,1,1,3,127,205,101,102,36,65
g385,236,226,52,74,54,62,450,523,227,362,93,173
g386,691,643,405,338,127,78,536,1144,578,740,156,243
g387,49,41,87,70,118,107,230,245,136,145,17,72
g388,107,71,33,51,28,44,123,196,98,94,27,65
g389,94,74,17,9,30,28,49,95,60,68,14,24
g390,9935,9423,7759,6431,1572,748,5448,8444,6552,8905,1052,1855
g391,61,56,21,34,108,125,223,460,124,102,46,158
g392,128,116,226,240,399,276,535,653,413,479,102,185
g393,26,19,20,27,33,36,105,159,110,84,32,61
g394,5659,5816,48,24,80,58,74,134,126,171,26,21
g395,2785,2706,952,1018,2686,2992,1892,2623,1879,2500,999,1810
g396,63,77,99,110,67,47,407,526,397,413,58,109
g397,2,1,2,0,26,8,18,33,21,17,7,9
g398,16,15,2,8,76,58,56,81,36,27,10,18
g399,22040,20953,23513,28263,25481,31422,38634,32116,36422,30697,7318,14436
g400,15,26,8,23,18,12,130,213,83,68,18,44
g401,169,70,58,150,332,282,522,1126,406,545,273,659
g402,1527,1676,685,764,191,81,847,1629,717,1492,308,388
g403,108,92,39,154,300,228,364,762,381,552,148,287
g404,47,44,509,358,267,234,582,699,502,435,68,168
g405,4187,2429,51,77,25,24,273,431,298,278,207,112
g406,703,442,360,669,919,811,2410,5616,1263,1550,578,1670
g407,34,45,6,9,20,17,28,70,38,64,7,9
g408,1248,999,243,223,355,461,426,428,396,543,85,164
g409,77,33,32,52,71,94,61,106,74,60,15,34
g410,5929,6164,921,1045,1388,1318,1851,3991,1579,2684,747,1702
g411,31744,38892,13242,11253,27316,37265,21622,35566,30315,39962,9091,18206
g412,1163,1104,316,444,651,661,1245,1573,1318,1253,466,710
g413,902,1109,582,745,764,799,222,320,196,373,86,205
g414,608,505,452,485,419,379,703,1040,673,782,215,319
g415,740,1004,265,341,382,277,395,680,409,686,147,281
g416,178,180,117,122,76,72,355,527,288,279,114,172
g417,3540,3317,1429,1511,2162,2153,3666,8056,3847,5380,1722,2861
g418,8974,9654,1218,1388,2324,2522,1751,2108,1711,1951,625,1245
g419,17093,18372,1506,1586,4079,5127,1411,2152,1377,1461,555,1500
g420,3189,3675,330,356,472,462,411,814,401,523,122,395
g421,341,330,313,293,277,191,1302,1541,1147,1270,364,693
g422,2005,2117,1163,1296,1352,1073,931,1478,801,1078,420,910
g423,643,98,0,2,1,5,52,81,24,38,80,85
g424,183,110,71,107,155,190,275,423,222,266,80,175
g425,106,68,0,0,32,9,39,92,24,29,57,87
g426,136,67,3,6,19,20,76,89,41,45,25,49
g427,25835,23219,27618,32257,28764,33679,26677,22571,27649,28496,6311,13197
g428,9,13,8,14,15,10,107,62,53,63,16,47
g429,184,154,32,28,67,46,229,553,214,201,166,214
g430,85,57,72,141,159,166,382,499,268,269,85,166
g431,116,105,31,113,115,92,251,275,186,164,61,161
g432,1041,836,508,374,358,376,720,773,636,673,203,387
g433,244,281,152,159,117,83,245,326,187,226,43,129
g434,961,819,346,321,514,399,1198,1164,759,813,281,628
g435,5,5,1,2,4,3,13,28,12,14,2,6
g436,693,639,77,127,61,46,431,962,251,437,117,129
g437,37,40,1,4,4,0,64,126,64,116,47,34
g438,11,8,3,11,2,0,298,430,257,338,215,117
g439,81,55,20,33,16,11,109,149,104,72,28,54
g440,2600,1990,4294,5427,1656,1150,3896,1299,5387,2953,589,2084
g441,247,242,53,65,440,292,236,310,236,141,83,190
g442,86,85,28,44,96,65,88,149,94,103,41,93
g443,342,239,196,239,726,551,759,1078,735,924,258,705
g444,42,25,0,0,4,0,3,5,8,5,4,5
g445,271,214,2,8,58,54,148,250,69,74,114,211
g446,887,881,6,8,18,12,0,0,0,0,0,0
g447,126,137,105,133,86,68,3,14,10,6,1,6
g448,2202,1480,676,762,1643,1458,1684,2668,2147,2846,1064,2167
g449,209,141,174,177,154,119,299,412,324,273,87,145
g450,1051,1419,737,437,686,765,701,947,949,1224,173,364
g451,138,156,171,191,125,123,224,276,212,250,55,82
g452,829,804,2164,1614,629,592,1181,1619,2640,3834,235,481
g453,1470,793,894,718,804,753,1124,1338,1246,1511,283,654
g454,37,12,3,6,16,10,41,77,36,44,14,29
g455,12,12,16,9,32,30,52,73,34,46,16,55
g456,127,84,52,62,166,170,286,310,181,206,120,248
g457,241,246,176,185,176,107,389,706,439,522,138,311
g458,472,385,352,455,365,301,310,661,320,438,92,237
g459,61,51,57,62,55,63,145,126,104,91,23,53
g460,33,44,77,97,108,60,480,533,268,317,115,225
g461,52,52,12,16,32,21,123,181,160,165,47,129
g462,1201,1168,955,821,2223,1875,1412,1859,1463,1574,339,1112
g463,140,147,37,30,55,34,99,164,66,72,26,62
g464,620,460,269,302,532,435,378,690,418,455,109,271
g496,460,421,208,225,210,145,426,630,374,495,110,266
g497,338,248,149,138,221,237,303,451,300,338,104,221
g498,122,34,0,3,11,4,86,60,23,44,36,57
g499,122,52,4,2,38,35,38,24,97,163,10,24
g500,206,156,191,228,191,135,968,1149,748,664,247,534
g501,169,98,81,111,251,184,399,352,313,354,55,177
g502,139,99,116,209,193,174,605,780,438,387,103,277
g503,458,276,495,546,460,479,1225,2066,1172,1441,380,780
g504,932,638,411,291,747,877,725,933,1018,1047,279,462
g505,501,499,1262,1925,1653,1598,1953,3003,2028,2038,546,1450
g506,204,181,465,524,550,450,413,532,345,409,125,208
g507,1,0,2,3,3,3,0,0,0,0,0,0
g508,21,12,5,7,9,7,14,12,13,14,5,10
g509,19,13,0,3,6,3,10,22,15,12,6,12
g510,20,36,9,11,35,41,57,67,63,41,8,19
g511,5170,6234,590,585,1474,1295,1203,1673,1433,1568,1304,4478
g512,1404,1232,571,633,851,911,878,1197,715,845,207,517
g513,10,4,6,9,15,7,173,366,86,146,21,25
g514,94,113,139,140,96,60,1034,1105,786,758,222,461
g515,375,363,137,125,118,71,267,361,244,161,63,167
g516,793,649,575,561,549,237,1285,1452,1351,993,268,770
g517,20,17,32,19,54,19,141,152,143,117,53,86
g518,53,24,159,173,515,525,972,484,781,645,139,331
g519,27,22,0,0,15,13,1,7,0,1,0,1
g520,117,139,22,40,99,50,42,122,26,41,13,25
g521,413,298,246,273,160,89,554,959,392,493,79,233
g522,155,144,75,115,47,31,205,291,205,217,47,67
g523,131,123,75,74,25,17,211,294,218,225,41,68
g524,29925,31792,26873,29580,30696,35232,58280,49151,51260,49009,13295,24747
g525,29,13,0,1,37,19,11,41,48,56,11,18
g526,205,130,108,135,92,65,166,294,168,267,45,86
g527,24,16,10,13,4,6,0,0,0,0,0,0
g529,0,1,1,1,0,1,2422,2415,1876,1997,402,731
g530,14,5,58,73,143,116,277,315,361,282,57,147
g531,17,10,32,49,89,40,232,212,239,142,61,159
g532,74,72,22,33,188,131,511,687,304,286,151,356
g533,747,818,115,129,161,115,311,432,257,260,96,157
g534,107,152,794,1020,1819,1092,599,470,547,529,111,280
g535,123,130,81,130,94,76,1911,1784,1341,1056,335,835
g536,530,352,469,1217,643,360,4896,5607,1884,2661,423,1163
g537,23,11,4,56,211,206,1580,1093,806,1122,206,859
g538,0,1,2,1,3,3,2,5,1,0,0,0
g544,262,232,105,113,207,158,583,682,294,365,81,235
g545,37,28,13,6,476,221,894,1125,474,533,30,101
g546,13,17,0,1,0,2,17,21,12,13,16,20
g548,0,1,1,0,0,1,2,9,1,2,0,3
g549,5,4,3,2,1,1,4,1,8,5,2,6
g550,0,1,0,0,1,1,0,0,1,0,0,1
g560,0,0,0,0,1,2,6,2,8,4,2,5
g562,0,0,0,0,1,0,5,6,9,14,1,4
g563,7,8,0,2,1,4,10,18,3,6,11,19
g564,3,0,0,0,0,0,3,8,4,1,1,2
g565,7,2,0,12,103,47,9,12,11,5,3,5
g568,0,0,1,0,0,0,0,0,0,0,0,0
g569,287,39,4,3,44,27,1,0,0,1,0,0
g570,89,35,41,181,476,316,1266,1034,1057,1052,229,591
g571,3680,2529,6029,8994,23295,20027,18695,12559,12983,12166,2477,7184
g572,0,0,0,0,17,44,7,3,10,17,0,1
g573,184,147,800,911,1085,1068,1092,1276,1143,1283,274,677
g574,55,28,1,11,3,8,334,843,610,466,278,365
g576,2,1,0,1,0,0,139,231,119,150,45,53
g577,4,3,0,0,0,0,188,305,357,491,223,137
g578,179,100,3,5,48,24,94,146,122,122,73,144
g579,104,16,2,16,101,80,145,236,217,186,241,406
g580,91,76,632,556,222,153,309,494,260,323,73,146
g581,25,13,11,19,91,86,61,39,28,45,11,20
g582,213,97,6273,5895,4954,3701,3702,5463,4191,4239,750,2567
g583,153,119,24,57,65,69,271,386,157,223,73,143
g584,23,30,22,30,34,19,277,415,211,252,89,157
g585,1707,2095,351,632,372,326,276,308,213,254,114,168
g586,56,57,139,112,176,163,90,44,122,74,51,57
g587,151,212,250,243,341,326,136,54,105,105,45,87
g588,0,0,0,0,1,0,0,0,0,0,0,0
g589,1,0,0,0,0,0,0,0,0,0,0,0
g590,8,18,6,8,14,20,10,1,19,16,3,5
g591,7,6,1,1,10,8,11,17,8,15,3,5
g592,6759,2415,140,329,17,14,49,72,39,53,44,132
g593,2136,916,33,70,4,7,13,14,13,14,4,17
g594,304,252,5,28,66,50,25,41,42,41,60,215
g595,4,2,13,10,25,11,51,56,42,47,13,47
g596,73,70,51,82,94,77,378,397,291,266,101,161
g597,275,122,18,50,104,86,260,267,226,188,92,185
g598,566,437,107,147,252,242,345,382,369,305,129,357
g599,41,31,1,1,3,5,780,1420,697,848,135,140
g604,65,81,13,5,19,19,47,47,31,27,10,39
g605,13,11,0,0,3,3,233,349,278,411,8,19
g606,22,6,0,0,0,0,14,47,11,5,2,5
g607,2,1,0,0,0,0,5,5,6,4,2,2
g608,11,17,1,2,5,3,2,8,10,1,2,1
g609,143,133,59,66,127,79,365,426,352,374,156,326
g610,0,0,0,1,0,0,0,0,0,0,0,0
g612,4,1,0,0,0,0,8,6,3,1,0,2
g613,16,15,0,0,2,1,24,27,24,16,11,17
g614,424,456,131,213,197,146,451,586,458,508,164,379
g615,55,36,38,43,75,56,249,298,249,239,111,215
g616,28,20,42,80,14,6,31,53,44,53,8,13
g617,15,5,2,3,2,4,37,31,39,29,9,8
g620,12,5,2,4,2,4,11,19,17,12,2,2
g621,198,65,86,147,379,234,192,357,314,373,38,108
g622,388,245,335,336,388,392,401,497,467,403,148,427
g623,839,626,1090,850,1672,1947,1016,1547,1098,1379,335,967
g624,274,157,95,125,1410,1840,3964,4710,2919,1990,1036,2471
g625,27,24,7,10,184,178,272,547,341,283,49,131
g626,33,53,5,6,233,277,252,521,343,299,35,99
g627,25,21,1,4,42,35,37,104,46,56,4,19
g628,26,26,0,1,6,4,52,103,44,50,8,20
g629,3276,3714,3339,2784,1199,844,2184,2399,2033,2318,381,683
g630,55,64,10,10,14,6,32,30,42,24,7,18
g631,115,115,68,84,41,31,191,251,272,332,83,110
g632,1679,1460,2020,1820,1218,826,1240,2197,1213,1685,344,656
g633,3733,3633,636,592,612,493,471,748,525,707,211,518
g634,94,44,200,242,314,231,228,417,225,312,99,129
g635,426,416,105,127,19,3,107,221,137,162,34,58
g636,91,63,77,93,114,84,120,223,121,166,42,90
g637,235,217,97,164,127,67,87,155,77,137,30,72
g638,1755,1895,677,880,228,128,557,961,362,553,70,114
g639,2911,2978,1126,409,279,173,183,294,99,157,19,71
g640,169,229,26,15,15,20,19,37,8,27,6,6
g641,7164,4652,9,14,34,13,35,43,43,29,61,86
g642,78,11,0,0,57,63,56,18,174,133,37,285
g643,716,764,338,549,109,89,717,883,621,843,110,205
g644,210,180,95,89,56,56,60,85,82,96,22,42
g645,1515,1402,846,744,540,676,637,1653,538,649,157,307
g646,87,85,85,120,84,115,182,234,138,99,35,92
g647,475,496,561,573,429,358,695,1051,586,775,153,305
g648,109,163,46,26,98,81,101,186,76,129,22,61
g649,3235,3381,1038,1245,1893,1913,772,1293,911,1529,352,895
g650,151,151,2761,1704,1048,836,1104,1856,1111,1000,191,455
g652,20,17,24,42,31,21,8,14,12,14,2,2
g653,238,210,211,252,137,114,105,147,79,113,25,40
g654,13,4,9,8,6,7,28,36,14,31,9,15
g655,239,257,76,79,81,47,194,172,125,123,43,77
g656,1202,252,15,28,28,26,38,79,26,25,41,34
g657,829,578,176,328,278,192,425,500,395,468,187,324
g658,53,53,955,806,280,208,280,429,276,333,40,98
g659,134,128,173,130,228,219,327,491,303,502,198,146
g660,46,31,40,33,166,200,122,205,112,134,47,84
g661,33,18,3,4,34,32,37,62,30,38,16,32
g662,1482,1383,5529,4648,9469,11657,4114,5159,3488,4066,1377,2886
g663,11,4,338,255,440,313,711,399,631,548,326,1203
g664,58,43,16,20,135,104,476,316,367,394,168,441
g665,37,25,139,111,179,170,195,281,389,630,46,143
g666,86,66,133,104,100,95,246,319,235,286,55,104
g667,195,194,435,419,269,254,392,517,378,376,74,159
g668,363,267,150,120,279,201,201,327,282,310,117,168
g669,535,325,375,449,1218,908,638,704,678,648,164,440
g670,50,35,42,56,90,44,131,95,79,47,10,45
g671,77,82,675,694,565,574,930,919,828,848,94,297
