"TAD_ID","total_genes","DEG_total","DEG_filtered","mean_log2fc","se","ci_low","ci_high","significant"
"TAD_1",35,14,14,1.97826826608817,0.801690956888444,0.406953990586821,3.54958254158952,TRUE
"TAD_10",19,0,0,NA,NA,NA,NA,NA
"TAD_100",276,100,100,-0.338008440496559,0.320884223322447,-0.966941518208556,0.290924637215438,FALSE
"TAD_101",24,0,0,NA,NA,NA,NA,NA
"TAD_102",27,7,7,-1.20619216753409,1.2697795541171,-3.69496009360362,1.28257575853543,FALSE
"TAD_103",26,19,19,-3.68326407935427,1.06730427972944,-5.77518046762396,-1.59134769108458,TRUE
"TAD_104",73,27,27,-1.50325101302102,0.973423408226747,-3.41116089314544,0.404658867103406,FALSE
"TAD_105",376,123,123,1.74885085735006,0.308431536525861,1.14432504575937,2.35337666894074,TRUE
"TAD_106",32,13,13,-1.2021673744715,0.407810844493093,-2.00147662967796,-0.402858119265034,TRUE
"TAD_107",94,28,28,-1.89079420710379,0.747725236207832,-3.35633567007114,-0.425252744136438,TRUE
"TAD_108",194,67,67,-0.0565648343570083,0.395571520363817,-0.83188501427009,0.718755345556073,FALSE
"TAD_109",30,13,13,2.04442760606338,1.04043360665831,0.00517773701308855,4.08367747511367,TRUE
"TAD_11",316,138,137,-0.123406148745924,0.247618258498426,-0.608737935402839,0.361925637910991,FALSE
"TAD_110",229,111,111,-0.211559871198418,0.237125952704475,-0.676326738499189,0.253206996102352,FALSE
"TAD_111",10,2,2,NA,NA,NA,NA,NA
"TAD_112",141,53,53,-0.0988782694705435,0.359502012666991,-0.803502214297845,0.605745675356758,FALSE
"TAD_113",51,22,22,-1.81203376933831,0.398483770667708,-2.59306195984702,-1.0310055788296,TRUE
"TAD_114",27,14,14,-0.904342627854598,0.51448155958818,-1.91272648464743,0.104041228938235,FALSE
"TAD_115",154,64,64,0.305960996599722,0.400706504166945,-0.47942375156749,1.09134574476693,FALSE
