,TPM_trimed_0h,TPM_trimed_16h,TPM_trimed_48h,TPM_control,TPM_Early,TPM_Late
g100,62.98922333,29.10486386,3.509442395,30.66659189,22.78558702,18.60693197
g101,1147.967133,75.25143398,44.00623951,170.4458035,86.70105101,138.31373
g102,11.11283616,12.729674,7.922729824,19.39677534,9.666131561,15.58857013
g103,36.93568059,17.21779084,3.943241855,27.9199698,23.73897517,17.23798783
g104,94.09751677,69.56109775,126.0789655,47.32197515,57.17032081,41.88701496
g107,0,0.021659251,0,0,0,0
g123,5.298648144,15.5595903,13.56576109,14.36539493,12.70014464,11.49530926
g124,4.249351197,7.77853128,14.11719944,24.23529087,15.34769944,19.0611018
g125,32.21465031,10.61039842,15.8244665,21.82010773,25.91907006,27.7360744
g126,5.523879232,1.893923379,2.437431272,3.64366889,2.459557629,17.04141386
g127,1.608931668,6.194252172,3.970949168,10.03718653,6.454811981,7.078328039
g128,24.08197769,19.36083214,30.20576145,33.2465836,24.56934902,34.74623761
g129,376.1698495,75.61211168,93.15713318,180.2155893,163.3117667,230.7081744
g130,5.447916585,6.497796994,18.44184616,14.94852989,13.46654723,10.58055775
g131,4.962173241,12.75418176,14.57532855,17.47170392,13.31981413,14.08822509
