"TAD_ID","total_genes","DEG_total","DEG_filtered","mean_log2fc","se","ci_low","ci_high","significant"
"TAD_6",39,20,20,-0.880730901399362,0.675763388157694,-2.20522714218844,0.443765339389718,FALSE
"TAD_60",44,9,9,-2.84205960877221,0.68842505437735,-4.19137271535182,-1.49274650219261,TRUE
"TAD_61",25,0,0,NA,NA,NA,NA,NA
"TAD_62",132,54,54,-0.53760513706347,0.427318167704849,-1.37514874576497,0.299938471638034,FALSE
"TAD_63",48,21,21,-0.907748175093702,0.683742561130709,-2.24788359490989,0.432387244722488,FALSE
"TAD_64",112,41,41,-0.951832107027146,0.510579793575532,-1.95256850243519,0.0489042883808964,FALSE
"TAD_65",124,61,61,-0.967409260054341,0.399580625303937,-1.75058728565006,-0.184231234458625,TRUE
"TAD_66",126,65,65,-1.0450155279076,0.44901061199076,-1.92507632740949,-0.164954728405707,TRUE
"TAD_67",167,70,70,0.260578487553774,0.400175554519498,-0.523765599304441,1.04492257441199,FALSE
"TAD_68",95,45,45,-0.940812913609684,0.509873940149379,-1.94016583630247,0.0585400090830982,FALSE
"TAD_69",21,3,3,NA,NA,NA,NA,NA
"TAD_7",108,52,52,-0.996409922015296,0.361275529755931,-1.70450996033692,-0.288309883693671,TRUE
"TAD_70",60,10,10,1.66522238496589,0.632459459583929,0.425601844181393,2.90484292575039,TRUE
"TAD_71",5,0,0,NA,NA,NA,NA,NA
"TAD_72",375,131,131,-0.184837411469396,0.259820546738458,-0.694085683076773,0.324410860137982,FALSE
"TAD_73",73,25,25,-0.202604030963514,0.534028774729375,-1.24930042943309,0.844092367506061,FALSE
"TAD_74",619,200,199,-0.61212124919928,0.265189166217692,-1.13189201498596,-0.0923504834126042,TRUE
"TAD_75",31,4,4,NA,NA,NA,NA,NA
"TAD_76",226,86,86,-0.854948284178678,0.331598121019948,-1.50488060137778,-0.20501596697958,TRUE
"TAD_77",69,21,21,-0.851296238699957,0.631318265044809,-2.08868003818778,0.386087560787868,FALSE
"TAD_78",100,38,38,-1.09193992383221,0.51233384114116,-2.09611425246888,-0.0877655951955378,TRUE
"TAD_79",246,86,86,-0.755851086331768,0.404091460254834,-1.54787034843124,0.0361681757677063,FALSE
"TAD_8",51,28,28,-1.01362962985158,0.469804203693343,-1.93444586909053,-0.0928133906126319,TRUE
"TAD_80",74,26,26,-2.06219684686459,0.727924759225908,-3.48892937494737,-0.635464318781808,TRUE
"TAD_81",183,59,59,-1.38912984193847,0.372208365275126,-2.11865823787772,-0.659601445999228,TRUE
"TAD_82",129,51,51,0.351695680103387,0.475122466420425,-0.579544354080646,1.28293571428742,FALSE
"TAD_83",144,41,41,-0.843921693104814,0.585084690684552,-1.99068768684654,0.302844300636908,FALSE
"TAD_84",628,221,221,-0.891180591304349,0.229785518748797,-1.34156020805199,-0.440800974556707,TRUE
"TAD_85",21,11,11,-0.406175672562066,0.713249944801471,-1.80414556437295,0.991794219248817,FALSE
"TAD_86",151,38,38,-1.14069388557265,0.702200640664126,-2.51700714127433,0.235619370129039,FALSE
"TAD_87",602,196,196,-2.2206525890485,0.237797221587584,-2.68673514336016,-1.75457003473683,TRUE
"TAD_88",176,71,71,-3.23150101792952,0.62325993596221,-4.45309049241545,-2.00991154344359,TRUE
"TAD_89",51,12,12,1.01154801701682,1.33346757916915,-1.60204843815472,3.62514447218836,FALSE
"TAD_9",120,51,51,-0.965827604716815,0.492344532049611,-1.93082288753405,-0.000832321899576938,TRUE
"TAD_90",154,25,25,-0.887653156662583,0.642454213480094,-2.14686341508357,0.371557101758402,FALSE
"TAD_91",229,70,70,-1.04882398183324,0.444060318857657,-1.91918220679425,-0.178465756872228,TRUE
"TAD_92",41,9,9,-2.8219384540762,0.456853606665648,-3.71737152314087,-1.92650538501153,TRUE
"TAD_93",14,5,5,NA,NA,NA,NA,NA
"TAD_94",139,6,6,-2.74095503412796,0.911294824485507,-4.52709289011956,-0.954817178136372,TRUE
"TAD_95",101,18,18,-1.64506895652993,0.77684950483443,-3.16769398600541,-0.122443927054446,TRUE
"TAD_96",274,57,57,-2.59514224944802,0.461131361893618,-3.49895971875951,-1.69132478013653,TRUE
"TAD_97",65,7,7,-3.03808957952141,1.6587535851747,-6.28924660646382,0.213067447420997,FALSE
"TAD_98",161,39,39,0.559253826944068,0.585178388320384,-0.587695814163885,1.70620346805202,FALSE
"TAD_99",328,111,111,-1.26620705815377,0.34763369631423,-1.94756910292966,-0.584845013377875,TRUE
