TAD_ID,Category
TAD_103,Category 1
TAD_11,Category 10
TAD_13,Category 10
TAD_15,Category 10
TAD_18,Category 10
TAD_24,Category 10
TAD_80,Category 10
TAD_99,Category 10
TAD_100,Category 10
TAD_142,Category 10
TAD_155,Category 10
TAD_81,Category 11
TAD_76,Category 12
TAD_16,Category 13
TAD_87,Category 13
TAD_88,Category 13
TAD_108,Category 13
TAD_148,Category 13
TAD_39,Category 14
TAD_54,Category 14
TAD_56,Category 14
TAD_78,Category 14
TAD_105,Category 14
TAD_125,Category 14
TAD_36,Category 15
TAD_131,Category 15
TAD_123,Category 16
TAD_147,Category 16
TAD_106,Category 17
TAD_17,Category 18
TAD_73,Category 18
TAD_113,Category 19
TAD_154,Category 19
TAD_84,Category 2
TAD_46,Category 20
TAD_49,Category 21
TAD_82,Category 21
TAD_98,Category 21
TAD_128,Category 22
TAD_86,Category 23
TAD_79,Category 24
TAD_28,Category 25
TAD_110,Category 25
TAD_67,Category 26
TAD_1,Category 27
TAD_12,Category 27
TAD_33,Category 27
TAD_59,Category 27
TAD_62,Category 27
TAD_63,Category 27
TAD_68,Category 27
TAD_72,Category 27
TAD_77,Category 27
TAD_83,Category 27
TAD_133,Category 27
TAD_151,Category 27
TAD_42,Category 28
TAD_124,Category 29
TAD_129,Category 29
TAD_7,Category 3
TAD_8,Category 3
TAD_9,Category 3
TAD_21,Category 3
TAD_25,Category 3
TAD_31,Category 3
TAD_35,Category 3
TAD_44,Category 3
TAD_55,Category 3
TAD_60,Category 3
TAD_91,Category 3
TAD_92,Category 3
TAD_94,Category 3
TAD_95,Category 3
TAD_140,Category 3
TAD_48,Category 30
TAD_26,Category 31
TAD_134,Category 32
TAD_116,Category 33
TAD_135,Category 33
TAD_153,Category 33
TAD_51,Category 34
TAD_115,Category 35
TAD_130,Category 35
TAD_121,Category 36
TAD_107,Category 37
TAD_37,Category 38
TAD_70,Category 39
TAD_126,Category 4
TAD_19,Category 5
TAD_5,Category 6
TAD_20,Category 6
TAD_23,Category 6
TAD_29,Category 6
TAD_40,Category 6
TAD_45,Category 6
TAD_52,Category 6
TAD_57,Category 6
TAD_65,Category 6
TAD_66,Category 6
TAD_96,Category 6
TAD_109,Category 6
TAD_138,Category 6
TAD_146,Category 6
TAD_149,Category 6
TAD_150,Category 6
TAD_30,Category 7
TAD_43,Category 8
TAD_74,Category 8
TAD_144,Category 8
TAD_141,Category 9
TAD_ID,Category ID
