Term	TERM	ONTOLOGY	gene_count	GO_Label
GO:0090630	activation of GTPase activity	BP	1	GO:0090630 – activation of GTPase activity (BP)
GO:0097346	INO80-type complex	CC	1	GO:0097346 – INO80-type complex (CC)
GO:0097373	MCM core complex	CC	1	GO:0097373 – MCM core complex (CC)
GO:0097730	non-motile cilium	CC	1	GO:0097730 – non-motile cilium (CC)
GO:0098573	NA	NA	1	GO:0098573 – NA (NA)
GO:0098656	monoatomic anion transmembrane transport	BP	1	GO:0098656 – monoatomic anion transmembrane transport (BP)
GO:0098687	chromosomal region	CC	1	GO:0098687 – chromosomal region (CC)
GO:0098762	meiotic cell cycle phase	BP	1	GO:0098762 – meiotic cell cycle phase (BP)
GO:0098764	meiosis I cell cycle phase	BP	1	GO:0098764 – meiosis I cell cycle phase (BP)
GO:0098771	inorganic ion homeostasis	BP	1	GO:0098771 – inorganic ion homeostasis (BP)
GO:0098781	ncRNA transcription	BP	1	GO:0098781 – ncRNA transcription (BP)
GO:0098791	Golgi apparatus subcompartment	CC	1	GO:0098791 – Golgi apparatus subcompartment (CC)
GO:0098813	nuclear chromosome segregation	BP	1	GO:0098813 – nuclear chromosome segregation (BP)
GO:0101031	protein folding chaperone complex	CC	1	GO:0101031 – protein folding chaperone complex (CC)
GO:0140013	meiotic nuclear division	BP	1	GO:0140013 – meiotic nuclear division (BP)
GO:0140110	transcription regulator activity	MF	1	GO:0140110 – transcription regulator activity (MF)
GO:0140326	ATPase-coupled intramembrane lipid transporter activity	MF	1	GO:0140326 – ATPase-coupled intramembrane lipid transporter activity (MF)
GO:0140527	reciprocal homologous recombination	BP	1	GO:0140527 – reciprocal homologous recombination (BP)
GO:1901136	carbohydrate derivative catabolic process	BP	1	GO:1901136 – carbohydrate derivative catabolic process (BP)
GO:1901617	organic hydroxy compound biosynthetic process	BP	1	GO:1901617 – organic hydroxy compound biosynthetic process (BP)
GO:1901657	glycosyl compound metabolic process	BP	1	GO:1901657 – glycosyl compound metabolic process (BP)
GO:1901658	glycosyl compound catabolic process	BP	1	GO:1901658 – glycosyl compound catabolic process (BP)
GO:1901698	response to nitrogen compound	BP	1	GO:1901698 – response to nitrogen compound (BP)
GO:1902493	acetyltransferase complex	CC	1	GO:1902493 – acetyltransferase complex (CC)
GO:1902679	negative regulation of RNA biosynthetic process	BP	1	GO:1902679 – negative regulation of RNA biosynthetic process (BP)
GO:1902969	mitotic DNA replication	BP	1	GO:1902969 – mitotic DNA replication (BP)
GO:1903046	meiotic cell cycle process	BP	1	GO:1903046 – meiotic cell cycle process (BP)
GO:1903320	regulation of protein modification by small protein conjugation or removal	BP	1	GO:1903320 – regulation of protein modification by small protein conjugation or removal (BP)
GO:1903507	NA	NA	1	GO:1903507 – NA (NA)
GO:1904949	ATPase complex	CC	1	GO:1904949 – ATPase complex (CC)
GO:1990837	sequence-specific double-stranded DNA binding	MF	1	GO:1990837 – sequence-specific double-stranded DNA binding (MF)
