Term	TERM	ONTOLOGY	gene_count	GO_Label
GO:0044283	small molecule biosynthetic process	BP	9	GO:0044283 – small molecule biosynthetic process (BP)
GO:0048193	Golgi vesicle transport	BP	9	GO:0048193 – Golgi vesicle transport (BP)
GO:0048285	organelle fission	BP	9	GO:0048285 – organelle fission (BP)
GO:0051173	positive regulation of nitrogen compound metabolic process	BP	9	GO:0051173 – positive regulation of nitrogen compound metabolic process (BP)
GO:0061695	transferase complex, transferring phosphorus-containing groups	CC	9	GO:0061695 – transferase complex, transferring phosphorus-containing groups (CC)
GO:0098772	molecular function regulator activity	MF	9	GO:0098772 – molecular function regulator activity (MF)
GO:0098796	membrane protein complex	CC	9	GO:0098796 – membrane protein complex (CC)
GO:1901565	organonitrogen compound catabolic process	BP	9	GO:1901565 – organonitrogen compound catabolic process (BP)
GO:0000278	mitotic cell cycle	BP	8	GO:0000278 – mitotic cell cycle (BP)
GO:0005198	structural molecule activity	MF	8	GO:0005198 – structural molecule activity (MF)
GO:0005730	nucleolus	CC	8	GO:0005730 – nucleolus (CC)
GO:0007154	cell communication	BP	8	GO:0007154 – cell communication (BP)
GO:0008092	cytoskeletal protein binding	MF	8	GO:0008092 – cytoskeletal protein binding (MF)
GO:0016746	acyltransferase activity	MF	8	GO:0016746 – acyltransferase activity (MF)
GO:0016798	hydrolase activity, acting on glycosyl bonds	MF	8	GO:0016798 – hydrolase activity, acting on glycosyl bonds (MF)
GO:0018193	peptidyl-amino acid modification	BP	8	GO:0018193 – peptidyl-amino acid modification (BP)
GO:0019899	enzyme binding	MF	8	GO:0019899 – enzyme binding (MF)
GO:0022613	ribonucleoprotein complex biogenesis	BP	8	GO:0022613 – ribonucleoprotein complex biogenesis (BP)
GO:0031410	cytoplasmic vesicle	CC	8	GO:0031410 – cytoplasmic vesicle (CC)
GO:0032553	ribonucleotide binding	MF	8	GO:0032553 – ribonucleotide binding (MF)
GO:0033365	protein localization to organelle	BP	8	GO:0033365 – protein localization to organelle (BP)
GO:0042254	ribosome biogenesis	BP	8	GO:0042254 – ribosome biogenesis (BP)
GO:0042578	phosphoric ester hydrolase activity	MF	8	GO:0042578 – phosphoric ester hydrolase activity (MF)
GO:0045935	positive regulation of nucleobase-containing compound metabolic process	BP	8	GO:0045935 – positive regulation of nucleobase-containing compound metabolic process (BP)
GO:0051640	organelle localization	BP	8	GO:0051640 – organelle localization (BP)
GO:0051656	establishment of organelle localization	BP	8	GO:0051656 – establishment of organelle localization (BP)
GO:0065009	regulation of molecular function	BP	8	GO:0065009 – regulation of molecular function (BP)
GO:0070925	organelle assembly	BP	8	GO:0070925 – organelle assembly (BP)
GO:0097367	carbohydrate derivative binding	MF	8	GO:0097367 – carbohydrate derivative binding (MF)
GO:0097708	intracellular vesicle	CC	8	GO:0097708 – intracellular vesicle (CC)
GO:0099080	supramolecular complex	CC	8	GO:0099080 – supramolecular complex (CC)
GO:0140014	mitotic nuclear division	BP	8	GO:0140014 – mitotic nuclear division (BP)
GO:0140098	catalytic activity, acting on RNA	MF	8	GO:0140098 – catalytic activity, acting on RNA (MF)
GO:1901137	carbohydrate derivative biosynthetic process	BP	8	GO:1901137 – carbohydrate derivative biosynthetic process (BP)
GO:1903047	mitotic cell cycle process	BP	8	GO:1903047 – mitotic cell cycle process (BP)
GO:0003924	GTPase activity	MF	7	GO:0003924 – GTPase activity (MF)
GO:0004674	protein serine/threonine kinase activity	MF	7	GO:0004674 – protein serine/threonine kinase activity (MF)
GO:0005681	spliceosomal complex	CC	7	GO:0005681 – spliceosomal complex (CC)
GO:0005740	mitochondrial envelope	CC	7	GO:0005740 – mitochondrial envelope (CC)
GO:0005976	polysaccharide metabolic process	BP	7	GO:0005976 – polysaccharide metabolic process (BP)
GO:0006928	NA	NA	7	GO:0006928 – NA (NA)
GO:0006974	DNA damage response	BP	7	GO:0006974 – DNA damage response (BP)
GO:0008610	lipid biosynthetic process	BP	7	GO:0008610 – lipid biosynthetic process (BP)
GO:0015075	monoatomic ion transmembrane transporter activity	MF	7	GO:0015075 – monoatomic ion transmembrane transporter activity (MF)
GO:0016791	phosphatase activity	MF	7	GO:0016791 – phosphatase activity (MF)
GO:0016810	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds	MF	7	GO:0016810 – hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds (MF)
GO:0030705	cytoskeleton-dependent intracellular transport	BP	7	GO:0030705 – cytoskeleton-dependent intracellular transport (BP)
GO:0031967	organelle envelope	CC	7	GO:0031967 – organelle envelope (CC)
GO:0031975	envelope	CC	7	GO:0031975 – envelope (CC)
GO:0032268	NA	NA	7	GO:0032268 – NA (NA)
GO:0034470	ncRNA processing	BP	7	GO:0034470 – ncRNA processing (BP)
GO:0034660	ncRNA metabolic process	BP	7	GO:0034660 – ncRNA metabolic process (BP)
GO:0044877	protein-containing complex binding	MF	7	GO:0044877 – protein-containing complex binding (MF)
GO:0048519	negative regulation of biological process	BP	7	GO:0048519 – negative regulation of biological process (BP)
GO:0048523	negative regulation of cellular process	BP	7	GO:0048523 – negative regulation of cellular process (BP)
GO:0050790	regulation of catalytic activity	BP	7	GO:0050790 – regulation of catalytic activity (BP)
GO:0051246	regulation of protein metabolic process	BP	7	GO:0051246 – regulation of protein metabolic process (BP)
GO:0051254	positive regulation of RNA metabolic process	BP	7	GO:0051254 – positive regulation of RNA metabolic process (BP)
GO:0051648	vesicle localization	BP	7	GO:0051648 – vesicle localization (BP)
GO:0051650	establishment of vesicle localization	BP	7	GO:0051650 – establishment of vesicle localization (BP)
GO:0055086	nucleobase-containing small molecule metabolic process	BP	7	GO:0055086 – nucleobase-containing small molecule metabolic process (BP)
GO:0097435	supramolecular fiber organization	BP	7	GO:0097435 – supramolecular fiber organization (BP)
GO:1901605	alpha-amino acid metabolic process	BP	7	GO:1901605 – alpha-amino acid metabolic process (BP)
GO:0005525	GTP binding	MF	6	GO:0005525 – GTP binding (MF)
GO:0005654	nucleoplasm	CC	6	GO:0005654 – nucleoplasm (CC)
GO:0005694	chromosome	CC	6	GO:0005694 – chromosome (CC)
GO:0006163	purine nucleotide metabolic process	BP	6	GO:0006163 – purine nucleotide metabolic process (BP)
GO:0006164	purine nucleotide biosynthetic process	BP	6	GO:0006164 – purine nucleotide biosynthetic process (BP)
GO:0006281	DNA repair	BP	6	GO:0006281 – DNA repair (BP)
GO:0006366	transcription by RNA polymerase II	BP	6	GO:0006366 – transcription by RNA polymerase II (BP)
GO:0006397	mRNA processing	BP	6	GO:0006397 – mRNA processing (BP)
GO:0006399	tRNA metabolic process	BP	6	GO:0006399 – tRNA metabolic process (BP)
GO:0006511	ubiquitin-dependent protein catabolic process	BP	6	GO:0006511 – ubiquitin-dependent protein catabolic process (BP)
GO:0006644	phospholipid metabolic process	BP	6	GO:0006644 – phospholipid metabolic process (BP)
GO:0006753	nucleoside phosphate metabolic process	BP	6	GO:0006753 – nucleoside phosphate metabolic process (BP)
GO:0006790	sulfur compound metabolic process	BP	6	GO:0006790 – sulfur compound metabolic process (BP)
GO:0006811	monoatomic ion transport	BP	6	GO:0006811 – monoatomic ion transport (BP)
GO:0008047	enzyme activator activity	MF	6	GO:0008047 – enzyme activator activity (MF)
GO:0008276	protein methyltransferase activity	MF	6	GO:0008276 – protein methyltransferase activity (MF)
GO:0008380	RNA splicing	BP	6	GO:0008380 – RNA splicing (BP)
GO:0009117	nucleotide metabolic process	BP	6	GO:0009117 – nucleotide metabolic process (BP)
GO:0009150	purine ribonucleotide metabolic process	BP	6	GO:0009150 – purine ribonucleotide metabolic process (BP)
GO:0009152	purine ribonucleotide biosynthetic process	BP	6	GO:0009152 – purine ribonucleotide biosynthetic process (BP)
GO:0009165	nucleotide biosynthetic process	BP	6	GO:0009165 – nucleotide biosynthetic process (BP)
GO:0009259	ribonucleotide metabolic process	BP	6	GO:0009259 – ribonucleotide metabolic process (BP)
GO:0009260	ribonucleotide biosynthetic process	BP	6	GO:0009260 – ribonucleotide biosynthetic process (BP)
GO:0010181	FMN binding	MF	6	GO:0010181 – FMN binding (MF)
GO:0015318	inorganic molecular entity transmembrane transporter activity	MF	6	GO:0015318 – inorganic molecular entity transmembrane transporter activity (MF)
GO:0016052	carbohydrate catabolic process	BP	6	GO:0016052 – carbohydrate catabolic process (BP)
GO:0016053	organic acid biosynthetic process	BP	6	GO:0016053 – organic acid biosynthetic process (BP)
GO:0016310	phosphorylation	BP	6	GO:0016310 – phosphorylation (BP)
GO:0016747	acyltransferase activity, transferring groups other than amino-acyl groups	MF	6	GO:0016747 – acyltransferase activity, transferring groups other than amino-acyl groups (MF)
GO:0017076	purine nucleotide binding	MF	6	GO:0017076 – purine nucleotide binding (MF)
GO:0019693	ribose phosphate metabolic process	BP	6	GO:0019693 – ribose phosphate metabolic process (BP)
GO:0019941	modification-dependent protein catabolic process	BP	6	GO:0019941 – modification-dependent protein catabolic process (BP)
GO:0023052	signaling	BP	6	GO:0023052 – signaling (BP)
GO:0030163	protein catabolic process	BP	6	GO:0030163 – protein catabolic process (BP)
GO:0031966	mitochondrial membrane	CC	6	GO:0031966 – mitochondrial membrane (CC)
GO:0032555	purine ribonucleotide binding	MF	6	GO:0032555 – purine ribonucleotide binding (MF)
GO:0034220	monoatomic ion transmembrane transport	BP	6	GO:0034220 – monoatomic ion transmembrane transport (BP)
GO:0035639	purine ribonucleoside triphosphate binding	MF	6	GO:0035639 – purine ribonucleoside triphosphate binding (MF)
GO:0043632	modification-dependent macromolecule catabolic process	BP	6	GO:0043632 – modification-dependent macromolecule catabolic process (BP)
GO:0044257	NA	NA	6	GO:0044257 – NA (NA)
GO:0044282	small molecule catabolic process	BP	6	GO:0044282 – small molecule catabolic process (BP)
GO:0046390	ribose phosphate biosynthetic process	BP	6	GO:0046390 – ribose phosphate biosynthetic process (BP)
GO:0046394	carboxylic acid biosynthetic process	BP	6	GO:0046394 – carboxylic acid biosynthetic process (BP)
GO:0051603	proteolysis involved in protein catabolic process	BP	6	GO:0051603 – proteolysis involved in protein catabolic process (BP)
GO:0072521	purine-containing compound metabolic process	BP	6	GO:0072521 – purine-containing compound metabolic process (BP)
GO:0072522	purine-containing compound biosynthetic process	BP	6	GO:0072522 – purine-containing compound biosynthetic process (BP)
GO:1901293	nucleoside phosphate biosynthetic process	BP	6	GO:1901293 – nucleoside phosphate biosynthetic process (BP)
GO:0000375	RNA splicing, via transesterification reactions	BP	5	GO:0000375 – RNA splicing, via transesterification reactions (BP)
GO:0000377	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	BP	5	GO:0000377 – RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (BP)
GO:0000398	mRNA splicing, via spliceosome	BP	5	GO:0000398 – mRNA splicing, via spliceosome (BP)
GO:0000428	DNA-directed RNA polymerase complex	CC	5	GO:0000428 – DNA-directed RNA polymerase complex (CC)
GO:0003735	structural constituent of ribosome	MF	5	GO:0003735 – structural constituent of ribosome (MF)
GO:0003779	actin binding	MF	5	GO:0003779 – actin binding (MF)
GO:0005509	calcium ion binding	MF	5	GO:0005509 – calcium ion binding (MF)
GO:0005682	U5 snRNP	CC	5	GO:0005682 – U5 snRNP (CC)
GO:0005743	mitochondrial inner membrane	CC	5	GO:0005743 – mitochondrial inner membrane (CC)
GO:0005874	microtubule	CC	5	GO:0005874 – microtubule (CC)
GO:0006357	regulation of transcription by RNA polymerase II	BP	5	GO:0006357 – regulation of transcription by RNA polymerase II (BP)
GO:0006650	glycerophospholipid metabolic process	BP	5	GO:0006650 – glycerophospholipid metabolic process (BP)
GO:0006812	monoatomic cation transport	BP	5	GO:0006812 – monoatomic cation transport (BP)
GO:0006914	autophagy	BP	5	GO:0006914 – autophagy (BP)
GO:0007015	actin filament organization	BP	5	GO:0007015 – actin filament organization (BP)
GO:0008033	tRNA processing	BP	5	GO:0008033 – tRNA processing (BP)
GO:0008170	N-methyltransferase activity	MF	5	GO:0008170 – N-methyltransferase activity (MF)
GO:0008233	peptidase activity	MF	5	GO:0008233 – peptidase activity (MF)
GO:0008270	zinc ion binding	MF	5	GO:0008270 – zinc ion binding (MF)
GO:0008324	monoatomic cation transmembrane transporter activity	MF	5	GO:0008324 – monoatomic cation transmembrane transporter activity (MF)
GO:0008652	amino acid biosynthetic process	BP	5	GO:0008652 – amino acid biosynthetic process (BP)
GO:0009451	RNA modification	BP	5	GO:0009451 – RNA modification (BP)
GO:0009891	positive regulation of biosynthetic process	BP	5	GO:0009891 – positive regulation of biosynthetic process (BP)
GO:0010557	positive regulation of macromolecule biosynthetic process	BP	5	GO:0010557 – positive regulation of macromolecule biosynthetic process (BP)
GO:0012506	vesicle membrane	CC	5	GO:0012506 – vesicle membrane (CC)
GO:0016054	organic acid catabolic process	BP	5	GO:0016054 – organic acid catabolic process (BP)
GO:0016757	glycosyltransferase activity	MF	5	GO:0016757 – glycosyltransferase activity (MF)
GO:0016779	nucleotidyltransferase activity	MF	5	GO:0016779 – nucleotidyltransferase activity (MF)
GO:0019001	guanyl nucleotide binding	MF	5	GO:0019001 – guanyl nucleotide binding (MF)
GO:0019866	organelle inner membrane	CC	5	GO:0019866 – organelle inner membrane (CC)
GO:0030029	actin filament-based process	BP	5	GO:0030029 – actin filament-based process (BP)
GO:0030036	actin cytoskeleton organization	BP	5	GO:0030036 – actin cytoskeleton organization (BP)
GO:0030532	small nuclear ribonucleoprotein complex	CC	5	GO:0030532 – small nuclear ribonucleoprotein complex (CC)
GO:0030659	cytoplasmic vesicle membrane	CC	5	GO:0030659 – cytoplasmic vesicle membrane (CC)
GO:0030880	RNA polymerase complex	CC	5	GO:0030880 – RNA polymerase complex (CC)
GO:0031328	positive regulation of cellular biosynthetic process	BP	5	GO:0031328 – positive regulation of cellular biosynthetic process (BP)
GO:0031984	organelle subcompartment	CC	5	GO:0031984 – organelle subcompartment (CC)
GO:0032259	methylation	BP	5	GO:0032259 – methylation (BP)
GO:0032561	guanyl ribonucleotide binding	MF	5	GO:0032561 – guanyl ribonucleotide binding (MF)
GO:0035556	intracellular signal transduction	BP	5	GO:0035556 – intracellular signal transduction (BP)
GO:0043085	positive regulation of catalytic activity	BP	5	GO:0043085 – positive regulation of catalytic activity (BP)
GO:0043414	macromolecule methylation	BP	5	GO:0043414 – macromolecule methylation (BP)
GO:0044093	positive regulation of molecular function	BP	5	GO:0044093 – positive regulation of molecular function (BP)
GO:0046395	carboxylic acid catabolic process	BP	5	GO:0046395 – carboxylic acid catabolic process (BP)
GO:0046486	glycerolipid metabolic process	BP	5	GO:0046486 – glycerolipid metabolic process (BP)
GO:0051015	actin filament binding	MF	5	GO:0051015 – actin filament binding (MF)
GO:0051276	chromosome organization	BP	5	GO:0051276 – chromosome organization (BP)
GO:0055029	nuclear DNA-directed RNA polymerase complex	CC	5	GO:0055029 – nuclear DNA-directed RNA polymerase complex (CC)
GO:0061919	process utilizing autophagic mechanism	BP	5	GO:0061919 – process utilizing autophagic mechanism (BP)
GO:0071824	protein-DNA complex organization	BP	5	GO:0071824 – protein-DNA complex organization (BP)
GO:0072594	establishment of protein localization to organelle	BP	5	GO:0072594 – establishment of protein localization to organelle (BP)
GO:0097525	spliceosomal snRNP complex	CC	5	GO:0097525 – spliceosomal snRNP complex (CC)
GO:0098655	monoatomic cation transmembrane transport	BP	5	GO:0098655 – monoatomic cation transmembrane transport (BP)
GO:0098660	inorganic ion transmembrane transport	BP	5	GO:0098660 – inorganic ion transmembrane transport (BP)
GO:0099081	supramolecular polymer	CC	5	GO:0099081 – supramolecular polymer (CC)
GO:0099512	supramolecular fiber	CC	5	GO:0099512 – supramolecular fiber (CC)
GO:0099513	polymeric cytoskeletal fiber	CC	5	GO:0099513 – polymeric cytoskeletal fiber (CC)
GO:0120114	Sm-like protein family complex	CC	5	GO:0120114 – Sm-like protein family complex (CC)
GO:1901607	alpha-amino acid biosynthetic process	BP	5	GO:1901607 – alpha-amino acid biosynthetic process (BP)
GO:0000139	Golgi membrane	CC	4	GO:0000139 – Golgi membrane (CC)
GO:0003993	acid phosphatase activity	MF	4	GO:0003993 – acid phosphatase activity (MF)
GO:0005342	organic acid transmembrane transporter activity	MF	4	GO:0005342 – organic acid transmembrane transporter activity (MF)
GO:0005746	mitochondrial respirasome	CC	4	GO:0005746 – mitochondrial respirasome (CC)
GO:0005768	endosome	CC	4	GO:0005768 – endosome (CC)
GO:0005840	ribosome	CC	4	GO:0005840 – ribosome (CC)
GO:0005929	cilium	CC	4	GO:0005929 – cilium (CC)
GO:0006091	generation of precursor metabolites and energy	BP	4	GO:0006091 – generation of precursor metabolites and energy (BP)
GO:0006310	DNA recombination	BP	4	GO:0006310 – DNA recombination (BP)
GO:0006338	chromatin remodeling	BP	4	GO:0006338 – chromatin remodeling (BP)
GO:0006400	tRNA modification	BP	4	GO:0006400 – tRNA modification (BP)
GO:0006417	regulation of translation	BP	4	GO:0006417 – regulation of translation (BP)
GO:0006457	protein folding	BP	4	GO:0006457 – protein folding (BP)
GO:0006605	protein targeting	BP	4	GO:0006605 – protein targeting (BP)
GO:0006631	fatty acid metabolic process	BP	4	GO:0006631 – fatty acid metabolic process (BP)
GO:0006839	mitochondrial transport	BP	4	GO:0006839 – mitochondrial transport (BP)
GO:0006865	amino acid transport	BP	4	GO:0006865 – amino acid transport (BP)
GO:0006903	vesicle targeting	BP	4	GO:0006903 – vesicle targeting (BP)
GO:0007018	microtubule-based movement	BP	4	GO:0007018 – microtubule-based movement (BP)
GO:0007034	vacuolar transport	BP	4	GO:0007034 – vacuolar transport (BP)
GO:0008654	phospholipid biosynthetic process	BP	4	GO:0008654 – phospholipid biosynthetic process (BP)
GO:0009890	negative regulation of biosynthetic process	BP	4	GO:0009890 – negative regulation of biosynthetic process (BP)
GO:0009892	negative regulation of metabolic process	BP	4	GO:0009892 – negative regulation of metabolic process (BP)
GO:0010498	proteasomal protein catabolic process	BP	4	GO:0010498 – proteasomal protein catabolic process (BP)
GO:0010558	negative regulation of macromolecule biosynthetic process	BP	4	GO:0010558 – negative regulation of macromolecule biosynthetic process (BP)
GO:0010605	negative regulation of macromolecule metabolic process	BP	4	GO:0010605 – negative regulation of macromolecule metabolic process (BP)
GO:0010608	post-transcriptional regulation of gene expression	BP	4	GO:0010608 – post-transcriptional regulation of gene expression (BP)
GO:0015171	amino acid transmembrane transporter activity	MF	4	GO:0015171 – amino acid transmembrane transporter activity (MF)
GO:0015267	channel activity	MF	4	GO:0015267 – channel activity (MF)
GO:0015629	actin cytoskeleton	CC	4	GO:0015629 – actin cytoskeleton (CC)
GO:0015849	organic acid transport	BP	4	GO:0015849 – organic acid transport (BP)
GO:0016042	lipid catabolic process	BP	4	GO:0016042 – lipid catabolic process (BP)
GO:0016278	lysine N-methyltransferase activity	MF	4	GO:0016278 – lysine N-methyltransferase activity (MF)
GO:0016279	protein-lysine N-methyltransferase activity	MF	4	GO:0016279 – protein-lysine N-methyltransferase activity (MF)
GO:0016616	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	MF	4	GO:0016616 – oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (MF)
GO:0016829	lyase activity	MF	4	GO:0016829 – lyase activity (MF)
GO:0019220	regulation of phosphate metabolic process	BP	4	GO:0019220 – regulation of phosphate metabolic process (BP)
GO:0019439	aromatic compound catabolic process	BP	4	GO:0019439 – aromatic compound catabolic process (BP)
GO:0022626	cytosolic ribosome	CC	4	GO:0022626 – cytosolic ribosome (CC)
GO:0022803	passive transmembrane transporter activity	MF	4	GO:0022803 – passive transmembrane transporter activity (MF)
GO:0022804	active transmembrane transporter activity	MF	4	GO:0022804 – active transmembrane transporter activity (MF)
GO:0030258	lipid modification	BP	4	GO:0030258 – lipid modification (BP)
GO:0030684	preribosome	CC	4	GO:0030684 – preribosome (CC)
GO:0030686	90S preribosome	CC	4	GO:0030686 – 90S preribosome (CC)
GO:0030695	GTPase regulator activity	MF	4	GO:0030695 – GTPase regulator activity (MF)
GO:0030990	intraciliary transport particle	CC	4	GO:0030990 – intraciliary transport particle (CC)
GO:0031324	negative regulation of cellular metabolic process	BP	4	GO:0031324 – negative regulation of cellular metabolic process (BP)
GO:0031327	negative regulation of cellular biosynthetic process	BP	4	GO:0031327 – negative regulation of cellular biosynthetic process (BP)
GO:0031503	protein-containing complex localization	BP	4	GO:0031503 – protein-containing complex localization (BP)
GO:0032787	monocarboxylic acid metabolic process	BP	4	GO:0032787 – monocarboxylic acid metabolic process (BP)
GO:0032879	regulation of localization	BP	4	GO:0032879 – regulation of localization (BP)
GO:0034248	regulation of amide metabolic process	BP	4	GO:0034248 – regulation of amide metabolic process (BP)
GO:0034455	t-UTP complex	CC	4	GO:0034455 – t-UTP complex (CC)
GO:0034655	nucleobase-containing compound catabolic process	BP	4	GO:0034655 – nucleobase-containing compound catabolic process (BP)
GO:0042221	response to chemical	BP	4	GO:0042221 – response to chemical (BP)
GO:0042592	homeostatic process	BP	4	GO:0042592 – homeostatic process (BP)
GO:0042995	cell projection	CC	4	GO:0042995 – cell projection (CC)
GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	BP	4	GO:0043161 – proteasome-mediated ubiquitin-dependent protein catabolic process (BP)
GO:0044242	cellular lipid catabolic process	BP	4	GO:0044242 – cellular lipid catabolic process (BP)
GO:0044270	cellular nitrogen compound catabolic process	BP	4	GO:0044270 – cellular nitrogen compound catabolic process (BP)
GO:0044391	ribosomal subunit	CC	4	GO:0044391 – ribosomal subunit (CC)
GO:0044770	cell cycle phase transition	BP	4	GO:0044770 – cell cycle phase transition (BP)
GO:0045017	glycerolipid biosynthetic process	BP	4	GO:0045017 – glycerolipid biosynthetic process (BP)
GO:0045324	late endosome to vacuole transport	BP	4	GO:0045324 – late endosome to vacuole transport (BP)
GO:0045893	positive regulation of DNA-templated transcription	BP	4	GO:0045893 – positive regulation of DNA-templated transcription (BP)
GO:0046474	glycerophospholipid biosynthetic process	BP	4	GO:0046474 – glycerophospholipid biosynthetic process (BP)
GO:0046700	heterocycle catabolic process	BP	4	GO:0046700 – heterocycle catabolic process (BP)
GO:0046943	carboxylic acid transmembrane transporter activity	MF	4	GO:0046943 – carboxylic acid transmembrane transporter activity (MF)
GO:0048199	vesicle targeting, to, from or within Golgi	BP	4	GO:0048199 – vesicle targeting, to, from or within Golgi (BP)
GO:0050660	flavin adenine dinucleotide binding	MF	4	GO:0050660 – flavin adenine dinucleotide binding (MF)
GO:0051172	negative regulation of nitrogen compound metabolic process	BP	4	GO:0051172 – negative regulation of nitrogen compound metabolic process (BP)
GO:0051174	regulation of phosphorus metabolic process	BP	4	GO:0051174 – regulation of phosphorus metabolic process (BP)
GO:0051726	regulation of cell cycle	BP	4	GO:0051726 – regulation of cell cycle (BP)
GO:0060589	nucleoside-triphosphatase regulator activity	MF	4	GO:0060589 – nucleoside-triphosphatase regulator activity (MF)
GO:0061024	membrane organization	BP	4	GO:0061024 – membrane organization (BP)
GO:0065004	protein-DNA complex assembly	BP	4	GO:0065004 – protein-DNA complex assembly (BP)
GO:0070469	respirasome	CC	4	GO:0070469 – respirasome (CC)
GO:0071826	protein-RNA complex organization	BP	4	GO:0071826 – protein-RNA complex organization (BP)
GO:0071897	DNA biosynthetic process	BP	4	GO:0071897 – DNA biosynthetic process (BP)
GO:0098590	plasma membrane region	CC	4	GO:0098590 – plasma membrane region (CC)
GO:0098662	inorganic cation transmembrane transport	BP	4	GO:0098662 – inorganic cation transmembrane transport (BP)
GO:0098827	endoplasmic reticulum subcompartment	CC	4	GO:0098827 – endoplasmic reticulum subcompartment (CC)
GO:0120025	plasma membrane bounded cell projection	CC	4	GO:0120025 – plasma membrane bounded cell projection (CC)
GO:0140359	ABC-type transporter activity	MF	4	GO:0140359 – ABC-type transporter activity (MF)
GO:1901361	organic cyclic compound catabolic process	BP	4	GO:1901361 – organic cyclic compound catabolic process (BP)
GO:1902680	positive regulation of RNA biosynthetic process	BP	4	GO:1902680 – positive regulation of RNA biosynthetic process (BP)
GO:1903508	NA	NA	4	GO:1903508 – NA (NA)
GO:2000113	NA	NA	4	GO:2000113 – NA (NA)
GO:0000075	cell cycle checkpoint signaling	BP	3	GO:0000075 – cell cycle checkpoint signaling (BP)
GO:0000288	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	BP	3	GO:0000288 – nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (BP)
GO:0000339	RNA cap binding	MF	3	GO:0000339 – RNA cap binding (MF)
GO:0000932	P-body	CC	3	GO:0000932 – P-body (CC)
GO:0000956	nuclear-transcribed mRNA catabolic process	BP	3	GO:0000956 – nuclear-transcribed mRNA catabolic process (BP)
GO:0000974	Prp19 complex	CC	3	GO:0000974 – Prp19 complex (CC)
GO:0001510	RNA methylation	BP	3	GO:0001510 – RNA methylation (BP)
GO:0001578	microtubule bundle formation	BP	3	GO:0001578 – microtubule bundle formation (BP)
GO:0003690	double-stranded DNA binding	MF	3	GO:0003690 – double-stranded DNA binding (MF)
GO:0003774	cytoskeletal motor activity	MF	3	GO:0003774 – cytoskeletal motor activity (MF)
GO:0004180	carboxypeptidase activity	MF	3	GO:0004180 – carboxypeptidase activity (MF)
GO:0004518	nuclease activity	MF	3	GO:0004518 – nuclease activity (MF)
GO:0004540	RNA nuclease activity	MF	3	GO:0004540 – RNA nuclease activity (MF)
GO:0004693	cyclin-dependent protein serine/threonine kinase activity	MF	3	GO:0004693 – cyclin-dependent protein serine/threonine kinase activity (MF)
GO:0004721	phosphoprotein phosphatase activity	MF	3	GO:0004721 – phosphoprotein phosphatase activity (MF)
GO:0005096	GTPase activator activity	MF	3	GO:0005096 – GTPase activator activity (MF)
GO:0005200	structural constituent of cytoskeleton	MF	3	GO:0005200 – structural constituent of cytoskeleton (MF)
GO:0005216	monoatomic ion channel activity	MF	3	GO:0005216 – monoatomic ion channel activity (MF)
GO:0005576	extracellular region	CC	3	GO:0005576 – extracellular region (CC)
GO:0005667	transcription regulator complex	CC	3	GO:0005667 – transcription regulator complex (CC)
GO:0005777	peroxisome	CC	3	GO:0005777 – peroxisome (CC)
GO:0005789	endoplasmic reticulum membrane	CC	3	GO:0005789 – endoplasmic reticulum membrane (CC)
GO:0005813	centrosome	CC	3	GO:0005813 – centrosome (CC)
GO:0005814	centriole	CC	3	GO:0005814 – centriole (CC)
GO:0005815	microtubule organizing center	CC	3	GO:0005815 – microtubule organizing center (CC)
GO:0006119	oxidative phosphorylation	BP	3	GO:0006119 – oxidative phosphorylation (BP)
GO:0006260	DNA replication	BP	3	GO:0006260 – DNA replication (BP)
GO:0006261	DNA-templated DNA replication	BP	3	GO:0006261 – DNA-templated DNA replication (BP)
GO:0006325	chromatin organization	BP	3	GO:0006325 – chromatin organization (BP)
GO:0006352	DNA-templated transcription initiation	BP	3	GO:0006352 – DNA-templated transcription initiation (BP)
GO:0006364	rRNA processing	BP	3	GO:0006364 – rRNA processing (BP)
GO:0006383	transcription by RNA polymerase III	BP	3	GO:0006383 – transcription by RNA polymerase III (BP)
GO:0006401	RNA catabolic process	BP	3	GO:0006401 – RNA catabolic process (BP)
GO:0006402	mRNA catabolic process	BP	3	GO:0006402 – mRNA catabolic process (BP)
GO:0006479	protein methylation	BP	3	GO:0006479 – protein methylation (BP)
GO:0006612	protein targeting to membrane	BP	3	GO:0006612 – protein targeting to membrane (BP)
GO:0006635	fatty acid beta-oxidation	BP	3	GO:0006635 – fatty acid beta-oxidation (BP)
GO:0006754	ATP biosynthetic process	BP	3	GO:0006754 – ATP biosynthetic process (BP)
GO:0006801	superoxide metabolic process	BP	3	GO:0006801 – superoxide metabolic process (BP)
GO:0006888	endoplasmic reticulum to Golgi vesicle-mediated transport	BP	3	GO:0006888 – endoplasmic reticulum to Golgi vesicle-mediated transport (BP)
