,TPM_trimed_0h,TPM_trimed_16h,TPM_trimed_48h,TPM_96h,TPM_Early,TPM_Late
g22,5.9268018863149425,73.52688956970215,71.8527083225745,51.42764028682105,39.497509654752236,45.01151134632215
g23,0.2588385189393678,55.73959937145948,31.43994565570123,3.1341337016669155,1.8122977877423243,2.818898676998254
g24,1.3761960206067447,0.072594193018702,0.1317118595958608,1.185559846571657,0.3205724506454275,2.818614114012658
g25,3.616154444962124,11.023692674569029,13.838784766187555,46.57446889133352,29.368189861956793,100.20774684075022
g26,25.742487312254255,14.918739735148403,13.057081291173432,35.54076284156811,30.138937801242246,39.73368252185392
g27,54.32000683345622,34.016708064212715,49.13116459696268,56.46945599962608,41.36857358330066,76.10895416142591
g28,20.26034748425952,16.723982487148415,12.975963669407324,24.711221590795034,19.248490345015927,20.80036386964114
g29,15.65435114057842,52.807001388712,75.6815640132489,26.619884800644527,37.845107853286976,37.68216642315575
g30,6.04173632281605,1.80851716280318,7.185502931617279,7.363313948917961,6.286626147158087,10.184725788960556
g31,20.627610426915236,29.836734653164598,46.102349617843096,42.93435163929918,38.977825140487546,39.775655569374024
g32,52.34284772679234,11.622216891843191,15.505374582587663,24.497149135490467,23.704195014705085,47.78145163833254
g33,26.178002625143908,8.477872681679106,5.496385483911641,10.478512097753622,9.333729221854565,11.31409186694129
g34,0.036648185546603,0.0,0.0,0.0117347457457594,0.0124465284042929,0.0
g36,0.0,0.36107774175482876,0.2808277994076052,0.0,0.0,0.0
g37,30.321267091867348,29.76203519884668,18.69837541439855,0.0,0.0,0.0
g39,0.0,0.3992672866261935,0.1780066221270792,0.0,0.0,0.0
g41,0.0642250380371162,0.19849574469752862,0.5274006508528842,0.0,0.0,0.0
g42,4.7090692557247245,4.2654136960850675,3.005160543075343,0.0,0.0,0.0
g44,0.0441274070867261,0.27119921706500716,0.24005984286602924,0.0,0.0,0.0
g45,33.56589540019611,27.1402579621785,20.08134994015509,0.0,0.0,0.0
g46,22.165297851489814,139.6616129284404,89.69150391585087,347.79686196921523,213.5114063119549,229.8709142993084
