anchor_location1	start1	end1	anchor1_annotation	anchor_location1	start2	end2	anchor2_annotation	loop_type	loop_size
HiC_scaffold_7	2090000	2100000	TAD_79	HiC_scaffold_7	2160000	2170000	TAD_79	Intra-TAD	70000
HiC_scaffold_7	2140000	2145000	TAD_79	HiC_scaffold_7	2220000	2225000	TAD_79	Intra-TAD	80000
HiC_scaffold_7	2150000	2160000	TAD_79	HiC_scaffold_7	2270000	2280000	TAD_79	Intra-TAD	120000
HiC_scaffold_7	2300000	2305000	TAD_79	HiC_scaffold_7	2400000	2405000	TAD_80	Inter-TAD	100000
HiC_scaffold_7	2800000	2805000	TAD_81	HiC_scaffold_7	2860000	2865000	TAD_81	Intra-TAD	60000
HiC_scaffold_7	3620000	3630000	TAD_83	HiC_scaffold_7	3720000	3730000	TAD_83	Intra-TAD	100000
HiC_scaffold_7	3735000	3740000	TAD_83	HiC_scaffold_7	3785000	3790000	TAD_83	Intra-TAD	50000
HiC_scaffold_8	285000	290000	None	HiC_scaffold_8	425000	430000	Boundary	TAD-Boundary	140000
HiC_scaffold_8	510000	520000	TAD_84	HiC_scaffold_8	570000	580000	TAD_84	Intra-TAD	60000
HiC_scaffold_8	1050000	1060000	TAD_84	HiC_scaffold_8	1190000	1200000	TAD_84	Intra-TAD	140000
HiC_scaffold_8	1320000	1325000	TAD_84	HiC_scaffold_8	1365000	1370000	TAD_84	Intra-TAD	45000
HiC_scaffold_8	1510000	1520000	TAD_84	HiC_scaffold_8	2730000	2740000	TAD_87	Inter-TAD	1220000
HiC_scaffold_8	1520000	1530000	TAD_84	HiC_scaffold_8	1630000	1640000	TAD_84	Intra-TAD	110000
HiC_scaffold_8	1790000	1795000	TAD_84	HiC_scaffold_8	1875000	1880000	TAD_84	Intra-TAD	85000
HiC_scaffold_8	2300000	2305000	TAD_86	HiC_scaffold_8	2335000	2340000	TAD_86	Intra-TAD	35000
HiC_scaffold_8	2370000	2380000	TAD_86	HiC_scaffold_8	2470000	2480000	TAD_86	Intra-TAD	100000
HiC_scaffold_8	2410000	2420000	TAD_86	HiC_scaffold_8	3120000	3130000	TAD_87	Inter-TAD	710000
HiC_scaffold_9	180000	185000	TAD_88	HiC_scaffold_9	285000	290000	TAD_88	Intra-TAD	105000
HiC_scaffold_9	890000	895000	TAD_90	HiC_scaffold_9	1035000	1040000	TAD_90	Intra-TAD	145000
