"gene","Compartment","log2FoldChange"
"g26259","A",-3.05750297696943
"g28452","A",-2.19008384651351
"g21208","A",-3.04666471475622
"g16954","A",-2.56587530544006
"g2063","A",4.64399008748241
"g1967","A",3.27270106842802
"g6629","A",-2.12261604615395
"g7750","A",4.16596399993346
"g17090","A",-3.40085843674192
"g8344","A",2.6577411153736
"g16923","A",3.55036243622684
"g5625","A",-2.25938920958992
"g7682","A",2.76652954418771
"g16017","A",5.25220460234284
"g2982","A",-2.79185368357512
"g15851","A",-2.21686032937958
"g26911","A",2.82469301969238
"g6180","A",-1.82554092938022
"g8154","A",-2.72747616973691
"g11680","A",-2.55895780348874
"g6732","A",7.1355807812923
"g17506","A",-2.99164851969728
"g17766","A",-2.50941053521938
"g3133","A",2.49813102915372
"g12905","A",7.52672574574105
"g28393","A",-3.77825937268044
"g12209","A",-2.89068489098144
"g22117","A",4.56727515595757
"g24158","A",-1.79286370829055
"g11468","A",-2.27996048955244
"g10046","A",-2.41099688120143
"g19526","A",-2.68727163216495
"g14252","A",-2.22103916486519
"g9098","A",3.01005748825945
"g3358","A",-2.77563724158298
"g4187","A",4.31366832223646
"g353","A",-2.53041970526443
"g11265","A",2.36288548321798
"g27337","A",3.78087578871599
"g21104","A",3.8638481373607
"g7397","A",2.6702161538294
"g8348","A",-2.10864965090208
"g24231","A",-2.44999123777138
"g8993","A",3.20348143043359
"g29714","A",2.44787792927317
"g6122","A",-2.38491217556318
"g22398","A",3.77777428121416
"g18764","A",2.5014524646021
"g7139","A",2.51568869544775
"g7708","A",-3.01223361148124
"g20936","A",3.03013642505403
"g6469","A",-2.04807209270917
"g16715","A",-2.99859546795524
"g18828","A",-2.47247716170081
"g20939","A",3.94427884214872
"g2265","A",-1.86164036177105
"g341","A",2.7834545736418
"g5742","A",-1.71953919360619
"g592","A",-4.32616565761151
"g22598","A",-2.8695506604713
"g26231","A",-2.79152517071623
"g2417","A",-2.21833293395702
"g24929","A",2.15686671144129
"g20424","A",5.65777240045759
"g17293","A",2.32780373112054
"g658","A",-2.34115867388466
"g27032","A",-2.30899644425485
"g20036","A",2.84633704041009
"g24269","A",-1.92554737516176
"g1276","A",-2.41502149090391
"g28842","A",-2.07903923869799
"g22573","A",-2.57172232621446
"g16326","A",2.48437666989153
