"gene","Compartment","log2FoldChange"
"g6683","A",2.62111371904572
"g8220","A",4.38613851811508
"g28942","A",-3.14514404846642
"g13389","A",5.21402136362685
"g26838","A",-3.92184393108225
"g23304","A",-4.56111571904271
"g7931","A",4.39113026898857
"g1355","A",-4.72611624064227
"g22707","A",-6.13509699005957
"g29136","A",-5.38894136134994
"g18403","A",6.26248534696946
"g28221","A",5.18847591898531
"g17139","A",-4.91163523547657
"g23387","A",4.05387719667977
"g4924","A",9.05829868873939
"g23086","A",6.2095935265893
"g10079","A",5.00597328367126
"g23308","A",-6.11445844902501
"g4334","A",3.30484359365764
"g819","A",-4.43026767600323
"g7437","A",5.78600873083528
"g16881","A",-4.85781326886788
"g20758","A",-7.29982282628873
"g16722","A",3.78162681997707
"g1163","A",-5.0176551121969
"g20118","A",-4.23685093919581
"g650","A",4.36815109519327
"g4078","A",4.53285231247187
"g18686","A",-6.09397066008617
"g10000","A",-5.60476206507006
"g26260","A",4.21898013694356
"g26089","A",2.77709956165969
"g19523","A",5.48345765207186
"g20958","A",-4.4330768289936
"g28370","A",-8.01939681191284
"g1587","A",4.08240759568705
"g10021","A",4.47361478999062
"g14256","A",3.93904963523014
"g136","A",3.50829534165585
"g2974","A",4.74541233257654
"g5692","A",-6.1419229982521
"g6657","A",3.86992912915438
"g19709","A",4.83202679924363
"g16727","A",-3.67829603345961
"g29135","A",-4.29288286254468
"g7981","A",2.81355039107993
"g10692","A",4.15644560223813
"g23306","A",-5.46002386583664
"g1867","A",6.7911351128527
"g7835","A",-4.70439727409364
"g3074","A",3.79766283943909
"g28234","A",-11.3951441323499
"g1864","A",6.78895153874517
"g3003","A",-3.51651249992498
"g3902","A",3.83206426335692
"g29712","A",4.88038361759618
"g20404","A",-4.54816080170518
"g18691","A",-3.43601045288041
"g9954","A",-6.25947131089265
"g8157","A",-4.23138712143977
"g11189","A",-10.2698939494813
"g15946","A",3.44283472690612
"g10070","A",-4.4634703451003
"g6287","A",2.91736995171932
"g27389","A",-6.71360873775773
"g1337","A",-4.47088221226118
"g1869","A",3.20111243859838
"g2684","A",-2.53960199159042
"g7880","A",5.07291807104371
"g19705","A",-3.12209768100529
"g573","A",2.85129472238072
"g22527","A",-5.38094616633532
"g22264","A",3.2188950398844
"g11529","A",-5.82670811670842
"g17429","A",3.2002554061972
"g21574","A",2.94823939602883
"g10694","A",3.98634516827922
"g10112","A",-3.37460012565478
"g22121","A",-2.98524873521754
"g27550","A",-3.66418657824794
"g8261","A",4.20170624661038
"g20354","A",-4.50968278949433
"g6609","A",2.38200266615028
"g14344","A",-4.51374577185829
"g3503","A",3.09188760054041
"g28226","A",-11.2153484742403
"g22381","A",3.5250670303346
"g21067","A",-5.1662285255675
"g22766","A",3.06949570235376
"g20051","A",-11.3549134457955
"g11699","A",2.82402156813551
"g15874","A",2.40294596531277
"g7777","A",3.39573352621427
"g10219","A",4.229475877284
"g10574","A",3.33964752502616
"g14284","A",3.18496784789655
"g16340","A",-4.95702960053394
"g12233","A",5.07167283548303
"g26232","A",4.13915386893737
"g6429","A",3.47318690587278
"g6669","A",4.56223878912965
"g21031","A",3.4490456203082
"g27011","A",-9.68210142287616
"g5894","A",6.18659816867683
"g10107","A",3.44445964811825
"g18677","A",2.90041280513588
"g7702","A",3.68654561321778
"g11264","A",-7.80294015874926
"g23136","A",-5.4746232307525
"g6685","A",-5.16498302172236
"g11313","A",-5.77593780390145
"g12211","A",3.11309193092028
"g24073","A",3.90061366119711
"g446","A",-6.52067873592252
"g46","A",3.06374032049371
"g15975","A",-5.27731926641869
"g24370","A",3.18270632767443
"g15827","A",3.77404123198163
"g17082","A",2.49784171400285
"g419","A",-3.03616137174579
"g5292","A",4.5954658623523
"g21395","A",-9.04106340485041
"g17236","A",-4.88050071749111
"g5074","A",-3.20071612509149
"g17416","A",3.96663062069921
"g6689","A",-4.15030759148082
"g580","A",3.32059995110896
"g7183","A",-4.15041509761558
"g1218","A",3.04384959011591
"g10067","A",-7.6402578862039
"g10011","A",2.73532374100915
"g16869","A",-5.60893787566608
"g16448","A",-3.95593004191805
"g10058","A",5.49701179251056
"g4814","A",2.47091783234985
"g9252","A",4.17266246572516
"g748","A",-3.68678667767539
"g12242","A",3.02593273616828
"g24971","A",4.79841220787778
"g17408","A",3.3670360331477
"g20112","A",5.92870167730072
"g14353","A",3.50332140671773
"g20418","A",3.07051592222917
"g16129","A",2.73498893049975
"g7208","A",-4.17162175002795
"g21990","A",4.30339705367276
"g7751","A",3.28328382749016
"g7081","A",-4.22271955021206
"g10479","A",-10.7714127250536
"g17321","A",-12.2658943847025
"g10137","A",-5.59605407258584
"g4290","A",6.50455271702163
"g17212","A",-5.2837615102626
"g9259","A",3.93653299989842
"g1171","A",3.55706113729452
"g23","A",8.14071064654768
"g17215","A",-4.43942414285586
"g10924","A",-4.4416307034747
"g23794","A",-6.49068798331867
"g24255","A",3.33886805948666
"g22220","A",3.5843337894959
"g6839","A",2.54082957668515
"g20952","A",3.22352290777363
"g85","A",2.97159602950482
"g3943","A",2.48011660688045
"g7249","A",-4.24872929197204
"g27296","A",3.34864921296326
"g28450","A",2.24344354617698
"g16234","A",-2.78076312451946
"g5395","A",3.98104462154228
"g8854","A",-2.87646466941949
"g20960","A",3.97263232804396
"g3128","A",-5.44757029334143
"g4955","A",3.45906870716362
"g17509","A",3.26657711109828
"g20666","A",-5.89575070517511
"g341","A",-3.73102586209623
"g18001","A",4.71044047030489
"g866","A",3.60944999353127
"g1741","A",-5.29508072908858
"g12794","A",2.51348744788707
"g9268","A",2.48173589558805
"g22636","A",3.41808183025148
"g21050","A",-3.24759446219063
"g7089","A",3.0122654257906
"g964","A",3.9008297302758
"g19713","A",3.68772109903244
"g2388","A",2.65398665034986
"g6374","A",3.06141257626059
"g16667","A",2.86860043840402
"g21005","A",2.95606765005543
"g20250","A",2.90313860457748
"g17847","A",3.49321819401926
"g14637","A",-7.23637328966835
"g16868","A",-4.6907208156382
"g10657","A",-10.5629893981603
"g19894","A",4.92909757764588
"g14346","A",-10.2370138501721
"g6122","A",3.15902250462425
"g3295","A",4.01191002799657
"g7539","A",-2.7911864631657
"g18591","A",3.9693901670597
"g9103","A",-5.7828126790535
"g23122","A",6.03865511985215
"g21081","A",3.17685275056472
"g10925","A",-5.04550823511548
"g26205","A",-3.86917595892723
"g873","A",-5.00412934546889
"g23301","A",3.71401033785453
"g11142","A",-2.618705337687
"g23200","A",-3.687320541283
"g10772","A",-2.48467896805322
"g27588","A",-3.17558718838897
"g920","A",2.61064996903784
"g404","A",3.7330107310632
"g17120","A",-5.73062867750517
"g891","A",-3.19494248572002
"g20397","A",-4.36405019139132
"g17891","A",-4.67955268618214
"g27385","A",-3.46634501397946
"g342","A",4.79217381321563
"g11138","A",2.57986079023439
"g20955","A",-2.68514329873929
"g29713","A",5.07004544196031
"g16880","A",-5.0510526688041
"g14378","A",4.61200998767618
"g3247","A",3.33009158937947
"g11756","A",2.91258148863565
"g23356","A",3.38531897808552
"g6185","A",2.7890901354356
"g9083","A",3.11434553804811
"g28808","A",-6.72874055960285
"g671","A",3.57963562350903
"g23142","A",-7.30105916214851
"g17298","A",2.56579902469104
"g2506","A",3.35404011490131
"g5695","A",3.81476071981852
"g809","A",5.62704756748715
"g2683","A",-6.17370519335461
"g7816","A",3.06166069805738
"g14851","A",2.83255608402544
"g10211","A",3.45362990486322
"g18835","A",-3.71079363538168
"g3901","A",3.13043982005643
"g7834","A",2.81421357762456
"g15888","A",3.11966216709887
"g6604","A",-6.8265743334696
"g5633","A",2.40189200256832
