,TPM_trimed_0h,TPM_trimed_16h,TPM_trimed_48h,TPM_control_96h,TPM_Early,TPM_Late
g27040,0.294082884,-1.189087355,0.771405077,-0.592828514,-0.713336466,1.429764374
g27041,1.918059975,-0.030432205,-0.756287086,-0.539832575,-0.671113566,0.079605456
g27042,1.970410847,0.108697095,-0.51349325,-0.396552728,-0.610834176,-0.558227787
g27043,1.07522482,1.109666376,-1.323048812,0.313927815,-0.397746322,-0.778023876
g27044,1.729873675,0.099959246,-1.262594285,0.186027125,-0.170368314,-0.582897448
g27045,1.60124147,-0.630347545,-0.630347545,-0.630347545,0.920148708,-0.630347545
g27047,-0.62906879,-0.62906879,0.90368766,1.6125875,-0.62906879,-0.62906879
g27055,-0.772282604,-0.818636082,-0.818636082,-0.052354591,1.353448881,1.108460479
g27056,0.248293806,-0.152855027,1.395124819,0.322168562,-0.124758524,-1.687973636
g27057,2.00155765,-0.513261367,-0.520451643,-0.00980795,-0.464077015,-0.493959675
g27058,-0.355765449,1.757589782,0.595836481,-0.413433595,-0.750444002,-0.833783217
g27059,-0.246999457,0.908354049,1.533279426,-0.733045559,-0.450203616,-1.011384844
g27060,-1.607652172,1.04556688,0.877872285,-0.664269348,0.331738644,0.016743711
g27061,1.295898077,-0.603474997,1.235161299,-0.977887203,-0.583515332,-0.366181844
g27062,2.038503311,-0.396176822,-0.314168661,-0.421895675,-0.443263871,-0.462998284
g27063,-0.624395063,-0.664488613,-0.645766389,0.059501711,-0.059907734,1.935056089
g27064,1.79260017,-1.016043449,-0.351733735,-0.526550899,-0.3663252,0.468053113
g27065,2.039198584,-0.462940618,-0.461010945,-0.372893178,-0.381902915,-0.360450928
g27066,1.430141264,-1.455756781,-0.529185809,0.206508371,-0.301316896,0.649609851
g27067,-1.441385055,0.691313871,-0.567249761,1.40617876,0.221499094,-0.31035691
g27068,-0.759647539,-1.113294275,0.494722745,1.695996566,-0.235912307,-0.081865191
g27069,-1.075309844,-0.48375133,1.810045981,0.371589936,-0.339110033,-0.28346471
g27070,-0.284915818,1.798319755,0.209436459,-0.896096478,0.084756416,-0.911500334
g27071,2.040830376,-0.422297764,-0.420424634,-0.41640423,-0.41317055,-0.368533198
g27072,1.83999931,-0.688327037,-0.69292437,-0.36121654,-0.561225766,0.463694402
g27073,-0.750058208,1.561152939,0.933215697,-0.540985444,-0.839003899,-0.364321086
g27074,-0.343272137,-1.295209297,-0.291050241,1.35893089,-0.459817411,1.030418196
g27075,-0.64103572,-0.414812985,-1.420189792,1.310797055,0.544009719,0.621231723
g27076,0.433228655,-1.276686734,-1.193845317,1.11411233,0.67340927,0.249781796
g27077,-0.103816189,-1.223927668,-1.017929028,1.423003323,0.508482097,0.414187464
g27078,-0.451969937,-0.942453204,-0.76855616,0.61728387,-0.16021177,1.705907201
g27079,-1.417283759,1.224298323,0.807876597,-0.278213597,0.425654934,-0.762332499
g27080,-0.967516477,-0.853756138,-0.090605219,0.101317334,1.821105875,-0.010545375
g27081,-0.419844053,-0.937160558,0.763308195,-0.714049902,1.65333656,-0.345590243
g27082,-0.881213454,-0.764872064,-0.609506971,1.773677992,0.290355706,0.191558791
g27083,2.026874171,-0.549196636,-0.540087383,-0.360807189,-0.319605651,-0.257177312
g27088,0.654051693,-1.362569887,0.721533923,-0.413553164,-0.785572838,1.186110273
g27089,1.037349271,-1.440942608,-0.25938955,0.078206644,-0.602935855,1.187712098
g27090,0.908436742,-0.595270908,1.601957363,-0.716140457,-0.493446848,-0.705535891
g27091,0.032418063,-0.785270108,1.660885797,-1.05121186,0.575802271,-0.432624163
g27092,1.058349061,-1.302025382,-0.369575904,0.475038545,-0.88295085,1.02116453
g27114,-0.217524967,-0.78906616,-0.94638406,0.434945736,1.78200793,-0.26397848
g27115,-1.204856608,0.36760375,-1.345536603,0.713499981,0.818998988,0.650290492
