,TPM_trimed_0h,TPM_trimed_16h,TPM_trimed_48h,TPM_control_96h,TPM_Early,TPM_Late
g22,-1.689106409,1.032986423,0.965571174,0.143102843,-0.337294804,-0.115259227
g23,-0.683704453,1.746546488,0.682136855,-0.55775649,-0.615657516,-0.571564884
g24,0.371809207,-0.86468588,-0.80861147,0.190986591,-0.629473033,1.739974585
g25,-0.85082084,-0.644105206,-0.565546914,0.347978945,-0.132181505,1.84467552
g26,-0.072029448,-1.07224407,-1.244278569,0.83342205,0.334243336,1.2208867
g27,0.166730201,-1.233531061,-0.191129616,0.314971649,-0.726493628,1.669452455
g28,0.287065677,-0.603210177,-1.546769639,1.407568157,0.032331797,0.423014186
g29,-1.207226621,0.559004678,1.646457879,-0.685926831,-0.152281448,-0.160027658
g30,-0.160402571,-1.715405867,0.259741244,0.325057191,-0.07044633,1.361456334
g31,-1.666092946,-0.691803097,1.029036273,0.693874298,0.275289044,0.359696428
g32,1.36611626,-1.042003659,-0.812363077,-0.280611211,-0.327504606,1.096366294
g33,1.962068343,-0.466823045,-0.87595612,-0.192286312,-0.349378564,-0.077624301
g34,1.856972276,-0.710165134,-0.710165134,0.111832036,0.161691091,-0.710165134
g36,-0.638061087,1.51543012,1.036814229,-0.638061087,-0.638061087,-0.638061087
g37,1.148435706,1.111076487,0.37197398,-0.877162058,-0.877162058,-0.877162058
g39,-0.584319151,1.840521311,0.496755293,-0.584319151,-0.584319151,-0.584319151
g41,-0.323359601,0.320229492,1.896743206,-0.631204365,-0.631204365,-0.631204365
g42,1.201535848,1.005010309,0.446757571,-0.884434576,-0.884434576,-0.884434576
g44,-0.378886261,1.397325765,1.153745855,-0.724061786,-0.724061786,-0.724061786
g45,1.309175623,0.890681144,0.43094247,-0.876933079,-0.876933079,-0.876933079
g46,-1.317382621,-0.296474971,-0.730657664,1.511980621,0.345194676,0.487339959
g47,1.983827697,-0.493111847,-0.473090081,-0.570504164,-0.516835661,0.069714056
g48,-1.944876105,0.990613143,0.29056777,0.276699079,0.20506381,0.181932303
g49,0.224514394,1.869717431,-0.734027643,-0.110284451,-0.378341633,-0.871578099
g50,0.896662214,-1.36102088,-1.105455038,0.963976132,0.369321465,0.236516107
g51,1.446163539,-1.010463805,0.416074489,0.59907582,-0.336142877,-1.114707166
g52,1.691203253,-0.389969411,0.72129033,-0.466953135,-0.637162225,-0.918408811
g53,-0.175070402,-1.331827336,1.595749208,-0.138414348,0.585488135,-0.535925256
g54,0.301742733,-0.684460366,1.164350847,-0.816659564,1.11687803,-1.08185168
g55,1.724844695,-0.749615267,0.507581349,-0.654715954,0.051691467,-0.87978629
g56,0.233291787,-0.636604131,-1.193356196,1.75282952,0.047630805,-0.203791785
g57,-0.487168725,-1.264343401,-0.867695933,0.698828827,0.761548936,1.158830296
g58,1.720157097,-0.782024724,-1.11661868,0.05087246,-0.229390076,0.357003924
g59,1.037387987,-1.070421389,-0.988708428,0.044693113,-0.324239533,1.30128825
g60,-1.406666441,-1.070306277,0.531503477,1.101286078,0.531828579,0.312354585
g61,0.936667768,-1.366266319,0.623497607,-0.806517948,1.023630301,-0.41101141
g62,0.067360508,-1.145204808,-1.094336224,0.055238288,0.710172931,1.406769305
g63,0.398141652,-1.182037351,-0.993329993,1.5469146,0.253177411,-0.022866317
g66,0.469513709,1.633422274,-0.128087008,-0.140011035,-0.474607468,-1.360230471
g67,-1.124776524,0.212575683,1.598614312,0.161613632,0.18771665,-1.035743754
g68,-1.528231323,1.232310227,0.553705463,0.008611481,0.500747364,-0.767143212
g69,-0.233940211,-0.437654734,-1.241663084,-0.28732992,1.695336391,0.505251557
g70,-0.019664846,0.160854447,1.728536625,-1.241874708,0.037178728,-0.665030247
g71,-1.453213169,-0.608645491,-0.349126841,0.998259178,0.258360157,1.154366166
g72,-1.300327814,0.415121752,-0.929489666,1.309908892,-0.211074104,0.71586094
g73,2.033764036,-0.516471128,-0.492039871,-0.309828643,-0.396752988,-0.318671405
g74,-0.947841524,-0.850307901,-0.762056408,1.397466049,0.872015459,0.290724325
g75,-1.199347713,-1.098400346,-0.17973606,1.255214642,0.622124651,0.600144827
g76,-0.872616832,-0.795063687,1.894275166,-0.085352412,-0.049698915,-0.09154332
g77,-1.256397654,-1.172712637,0.405709909,0.583443815,0.217750579,1.222205988
g78,-1.31174936,-0.614492356,0.996570023,0.276482457,-0.573069295,1.226258531
g79,-0.608121069,-1.012242185,-0.849253729,1.364154584,0.098648971,1.006813429
g81,-1.271654814,1.270524289,-0.986432977,0.176166887,-0.060882363,0.872278977
g82,-1.213953027,1.062360986,0.830705726,-0.211695001,0.64764765,-1.115066334
g83,1.88706982,0.319316737,-0.531125767,-0.507562053,-0.343505521,-0.824193216
g84,-0.672372627,-0.903024788,-0.606181632,0.418601704,-0.022871093,1.785848436
g85,-1.591849985,1.49735611,0.178633206,0.230957947,-0.368550727,0.053453448
g86,-1.144792504,-0.764468175,-0.784553228,1.077056345,0.914472818,0.702284743
g87,-0.827473367,-1.356960773,0.665802361,0.837800589,-0.400184542,1.081015731
g88,-0.772821562,-0.837775005,-0.846309981,1.100017219,0.024981933,1.331907396
g91,-0.953122458,-0.500877426,-1.075653964,0.826629423,0.327019298,1.376005127
g92,-1.059711487,-0.710056937,-0.469397416,0.164703219,0.339494956,1.734967666
g93,1.498944639,-1.215869251,-0.673629127,-0.2933113,0.842523929,-0.15865889
g94,1.330804428,-1.028183292,1.083647565,-0.509227073,-0.858992826,-0.018048801
g96,-0.722841486,-0.86050109,-0.86050109,1.244614661,-0.003889922,1.203118926
g97,-0.763635066,-0.768940683,-0.768940683,0.588252056,0.013826146,1.699438229
g98,-1.0702629,1.44227818,0.937188252,-0.064335654,-0.380502064,-0.864365814
g99,1.943321735,-0.509197841,-0.889254603,0.024040258,-0.358742965,-0.210166584
g100,1.775612984,0.058827816,-1.237989968,0.137954338,-0.261344704,-0.473060467
g101,2.029774189,-0.470499548,-0.543325498,-0.248621578,-0.443812909,-0.323514655
g102,-0.387531169,-0.001538753,-1.149114561,1.590117801,-0.732907178,0.68097386
g103,1.406517938,-0.352102063,-1.536046575,0.602415191,0.22951622,-0.350300712
g104,0.667045136,-0.097357155,1.663388272,-0.79018997,-0.483376739,-0.959509544
g107,-0.40824829,2.041241452,-0.40824829,-0.40824829,-0.40824829,-0.40824829
g123,-1.886683339,0.933092007,0.385174441,0.604919154,0.147297268,-0.183799532
g124,-1.355163125,-0.871199488,-0.001965042,1.385549396,0.166775923,0.676002335
g125,1.233064599,-1.468560842,-0.816538312,-0.066779562,0.445798285,0.673015833
g126,0.004119765,-0.621589303,-0.527902814,-0.319979125,-0.524088811,1.989440289
g127,-1.494669152,0.105947074,-0.670150227,1.44741559,0.196901731,0.414554984
g128,-0.604772711,-1.393548359,0.418345818,0.926384904,-0.523346153,1.176936502
g129,1.738211679,-1.016644452,-0.855830059,-0.057868499,-0.212805782,0.404937113
g130,-1.216302951,-1.007509091,1.367851106,0.673121511,0.378393771,-0.195554346
g131,-1.879642368,-0.025631268,0.407687863,1.096844206,0.108953889,0.291787679
g132,0.72337525,-0.551480665,0.174263425,-1.435736171,-0.317562629,1.407140791
g133,-0.376815564,-1.537250059,0.843160184,-0.019656416,-0.225726282,1.316288138
g134,-1.023983302,-1.365717586,0.518661369,0.489608274,1.249003922,0.132427323
g135,1.423299946,-0.640569199,1.121318088,-0.890312596,-0.511716228,-0.502020012
g136,-1.5113325,-0.368344672,-0.563277132,1.207413784,0.473224563,0.762315957
g137,1.996699689,-0.615113099,-0.544695584,-0.134169309,-0.542701713,-0.160019983
g138,-0.475439489,-0.671127629,-1.318075632,1.369743491,0.312266511,0.782632749
g139,1.921342168,-0.401426516,0.243928025,-0.668115295,-0.691237396,-0.404490988
g140,-1.080321964,-0.110139251,-1.057062792,1.425047983,0.002338944,0.82013708
g141,1.892387821,-0.781885745,-0.869839798,0.010066474,-0.026957171,-0.223771581
g142,-0.648777063,0.994179921,-1.451253886,0.848385945,0.733568851,-0.476103767
g143,-1.823997977,0.011317511,1.251224579,0.217512879,0.150994174,0.192948835
g144,-0.432852997,-0.754390371,-1.137216557,1.070308849,-0.086459135,1.340610211
g146,-0.351680941,-1.082733184,-0.726425316,0.62546145,-0.128531071,1.663909062
g147,-0.516074622,-0.324382547,2.036203754,-0.446620735,-0.341004256,-0.408121594
g148,-0.582806316,-0.590188228,2.009719681,-0.149826836,-0.429119273,-0.257779027
g149,2.031525951,-0.398956993,-0.441695309,-0.232719886,-0.531292872,-0.426860891
g150,1.704460324,-0.406637525,-1.222791528,0.463867282,-0.461625139,-0.077273414
g152,-0.490190255,-1.32364583,1.601413054,0.095182524,-0.403558867,0.520799374
g153,-0.376212075,-1.699821969,-0.163591558,1.016330168,0.327786239,0.895509195
g154,-0.539399821,-0.218627644,2.024511111,-0.349039196,-0.358912332,-0.558532118
g155,-0.817649858,-0.297761963,1.020918918,-0.499849729,-0.880546763,1.474889396
g156,-0.776032167,-0.577385445,-0.776032167,1.226043267,1.332305449,-0.428898937
g158,-0.870677792,-0.762789762,-0.870677792,1.394031101,0.968876295,0.141237949
g161,1.93489086,-0.414727445,-0.806606096,0.181266777,-0.43376678,-0.461057316
g162,0.904092525,0.57876613,0.872475561,-0.388962271,-0.275431811,-1.690940134
g163,1.085896845,-1.234828156,-0.403495579,1.272014358,-0.717770827,-0.001816641
g164,1.795878708,-1.019432749,-0.256634314,0.448360293,-0.481853929,-0.486318009
g165,-0.919875951,-0.717879025,-0.994470317,1.130042583,0.401638894,1.100543815
g166,1.869206502,-0.619578568,0.388046423,-0.653572797,-0.665578997,-0.318522564
g167,1.70485398,0.150352608,-1.354019394,0.1220349,-0.192440843,-0.430781251
g168,-0.764150979,0.077164765,1.961408471,-0.470967234,-0.497684713,-0.305770311
g169,-0.859805394,0.835800521,-1.548785392,0.965550373,0.150684801,0.456555092
g170,-0.522745946,0.785267462,1.683926409,-0.717676519,-0.661737405,-0.567034002
g171,-1.313081147,-0.581931501,-0.421151792,0.563956901,0.20281268,1.549394859
g172,-1.761471341,-0.03213211,1.023581248,0.894266695,-0.205364006,0.081119514
g173,-1.186616501,-0.934579961,-0.171609173,0.13553395,0.664044564,1.493227121
g174,-0.656447631,-1.058876954,-0.987006093,0.761833178,1.042774641,0.89772286
g175,-0.898162861,-0.8954812,-0.898162861,0.809567311,0.660132112,1.222107498
g176,-1.054479492,-0.42288548,0.606629445,0.528967018,-1.054479492,1.396248002
g177,-1.18730775,-1.034022009,0.244930472,1.426710187,0.645335335,-0.095646234
g178,-0.903954964,-0.913535478,-0.191245996,-0.325880648,0.677243927,1.657373159
g179,0.21252155,-1.267668708,-0.921015932,-0.213455746,1.263334799,0.926284038
g180,-1.055935054,-1.083772539,-0.18848082,0.488855266,0.309600782,1.529732366
g181,-1.258892875,-1.2265838,0.776171222,0.358151629,0.310092145,1.041061678
g182,-0.860365594,-1.024207494,-0.429459677,1.326763115,1.117607338,-0.130337689
g183,-0.913132888,-0.856122529,-0.389236118,1.527025486,0.928332513,-0.296866463
g184,-1.524532712,-0.738252772,-0.019538641,0.569070619,0.444958841,1.268294665
g185,-1.204515003,-0.903946384,-0.422525265,0.895681012,0.362603263,1.272702377
g186,0.573625983,-0.738749587,-0.644525404,-0.444201197,-0.540637405,1.794487609
g187,1.784192303,-1.181055061,-0.433481666,-0.366146762,-0.102369176,0.298860362
g188,-0.728664073,-0.830792306,-0.684834087,1.630070412,0.788811387,-0.174591332
g189,-0.859793029,-0.926694729,-0.383175078,1.431597153,1.052161235,-0.314095551
g190,-0.928617485,-0.816626565,-0.36906372,1.604819554,0.81570207,-0.306213853
g191,-1.354982131,-0.885684398,-0.286780696,0.943383851,0.515678719,1.068384655
g192,0.762391118,-0.812417638,-0.669165613,-0.387786035,-0.575199625,1.682177794
g193,1.814856785,-1.167148944,0.241339939,-0.397246942,-0.30537336,-0.186427477
g194,-1.217348379,-0.424015442,-0.678722955,0.325655226,0.371644415,1.622787134
g195,-1.736881177,0.354941819,-0.592960092,0.752034171,0.301268753,0.921596526
g196,-1.460020727,-0.372478232,-0.623850538,0.365446444,0.943174804,1.147728249
g197,-0.988347276,-0.989070909,-0.749866154,0.863608741,0.940373708,0.923301891
g198,-0.776443007,-0.734047849,1.900654633,-0.308524621,-0.312206812,0.230567656
g199,-1.933990118,0.502820653,0.113088329,0.92030847,0.014515215,0.383257451
g200,2.017064028,-0.599741461,-0.54000588,-0.224351338,-0.417699832,-0.235265516
g201,-0.844514083,-0.899609577,-0.828249449,1.020532309,0.253469304,1.298371496
g202,-0.900475822,1.523359189,0.97384382,-0.680479801,-0.32148385,-0.594763537
g203,1.506052337,0.115759675,-1.508181216,0.402451975,-0.530674079,0.014591307
g204,-0.723488911,1.94598272,0.129850667,-0.328356424,-0.369235228,-0.654752824
g205,-1.443372144,1.598850618,0.306866178,-0.011088529,0.060944534,-0.512200657
g206,1.793234662,-0.872042267,-0.187849882,-0.538499526,-0.680345382,0.485502395
g207,0.861179983,-1.063932721,-1.081825124,0.496317749,-0.44224973,1.230509843
g208,1.970530694,-0.681537161,-0.681537161,-0.191586251,-0.387995759,-0.027874362
g209,0.894686061,0.90452399,-1.455401482,0.776478009,-0.432196769,-0.688089809
g210,-0.749342726,-0.931438679,-0.772547962,0.640912173,0.227651064,1.584766131
g211,-1.290450651,-0.534034055,0.762822233,0.850960246,-0.82236542,1.033067647
g212,-1.255542814,-0.039771756,-1.117966959,0.980624492,0.412763996,1.019893042
g213,-0.608735867,-0.27519967,-1.385680105,1.428330687,0.074530001,0.766754953
g214,2.04123019,-0.412768792,-0.409253233,-0.403373542,-0.410125005,-0.405709617
g215,2.033730971,-0.242568853,-0.408047776,-0.436982149,-0.478508477,-0.467623717
g216,-0.309273387,-1.007663564,-0.852009916,1.420165114,1.032356381,-0.283574628
g217,1.829242777,-0.417057004,-1.007239816,0.20060608,-0.650492023,0.044939985
g218,-0.592662405,-0.422848409,-1.484110249,1.081200439,0.924168843,0.494251781
g219,-1.812772806,0.111792783,-0.415816975,0.566648987,0.720839015,0.829308996
g220,-0.317520561,-0.942235058,-1.271733986,0.471978261,0.87083825,1.188673093
g221,-1.507345396,-0.281766996,-0.721525691,0.829001503,0.956411561,0.72522502
g222,-1.130029733,0.613993367,-1.316607629,1.183475925,0.299440047,0.349728024
g227,-0.40824829,-0.40824829,2.041241452,-0.40824829,-0.40824829,-0.40824829
g235,-0.65393999,-0.533667065,-0.65393999,-0.110273325,1.96154776,-0.00972739
g247,-1.47124972,-0.627126201,-0.289353507,0.995447864,0.24989471,1.142386854
g248,-1.040023053,-0.848371639,-0.738935563,1.112548477,0.391641101,1.123140676
g249,1.98353631,-0.707146737,-0.001992874,-0.393479809,-0.546970373,-0.333946518
g250,0.170876076,0.405313951,-1.894690132,0.971652476,0.499315743,-0.152468115
g251,1.859534451,-0.928119519,-0.237813504,-0.27488767,-0.689433271,0.270719512
g252,1.487569139,-0.55423123,-1.292445852,0.687298523,0.212279344,-0.540469925
g253,1.701376208,-0.963813926,0.464996699,0.159788433,-0.623588104,-0.738759311
g254,0.851313984,-1.361585503,1.02312009,0.750613079,-0.55114847,-0.712313181
g255,-1.014570779,-0.94331663,-0.585045614,1.454400911,0.420192668,0.668339444
g256,-0.868968119,-1.145409249,1.204095512,0.778533066,-0.646118177,0.677866967
g257,-0.681749789,-1.127698715,-0.427847383,0.705443543,-0.073574589,1.605426933
g258,1.867651686,-0.526889409,-0.792150222,0.216171793,-0.74816873,-0.016615119
g259,1.034716601,-0.849089451,1.049439408,0.617705114,-0.994004421,-0.858767251
g260,-0.353806577,1.319305708,0.878730322,-1.512879724,-0.261552378,-0.06979735
g261,1.76256137,0.645165714,-0.597541898,-0.554717706,-0.517571891,-0.737895589
g262,-0.742851133,-0.913611935,-0.903801538,1.472278078,0.680316637,0.407669891
g273,-0.903054642,-0.898518498,-0.903054642,0.626632476,1.109526483,0.968468822
g274,-0.883389565,-0.882430951,-0.882641302,0.430676327,1.016387386,1.201398105
g275,0.861294767,-0.903276551,1.560852817,-0.325325343,-0.290269139,-0.903276551
g276,0.185638472,-1.536478431,1.478177305,0.414666231,-0.495648423,-0.046355154
g278,-0.739485913,0.462143438,0.256426164,0.328680539,-1.571351575,1.263587346
g279,0.354358865,-0.792275592,1.850612623,-0.571519643,-0.154563078,-0.686613175
g280,-0.70997535,-1.459639463,0.139379976,1.479322258,0.329373749,0.22153883
g281,-0.661857143,-0.922878561,-1.055684118,0.745949816,0.597362242,1.297107763
g282,1.284951807,-1.164010091,-1.196999328,0.654503239,0.062548589,0.359005784
g283,1.164370857,-0.775792129,-1.326260157,0.958319483,0.416782763,-0.437420817
g284,-1.483708434,-0.606660695,-0.156460485,1.395931566,0.206984471,0.643913577
g285,-1.4627566,-0.807215581,1.037297554,0.459223242,-0.17128883,0.944740214
g286,0.539308732,0.218264628,1.582987376,-0.723362284,-0.405648113,-1.211550339
g287,-0.933107783,-0.246928164,-1.172585993,1.280431743,1.025521844,0.046668354
g288,-1.612915036,1.190459695,0.159870135,0.503163581,0.460072672,-0.700651047
g289,1.498501875,-0.990964952,-1.169490498,0.616711313,0.130825323,-0.085583061
g290,-0.822128694,-0.747073166,-0.503661435,1.861724623,-0.003981822,0.215120495
g291,-1.052280556,-0.915345325,-0.436944223,0.88223559,0.080418592,1.441915923
g292,-0.749386476,-0.742770279,-0.173249866,1.920794776,-0.387147906,0.13175975
g293,-1.010966527,0.342836992,-0.464476376,1.74441363,0.14936415,-0.761171869
g294,-0.436545834,0.404451447,1.870968873,-0.615719599,-0.516294514,-0.706860373
g295,-0.669433596,-1.160615097,0.232736206,1.757549736,-0.236397306,0.076160058
g296,1.819778837,-1.179388485,0.087280188,0.031335931,-0.359470724,-0.399535747
g297,-0.906963805,-0.906963805,-0.883246596,1.073761272,0.583659633,1.039753301
g298,1.730767976,-1.237885794,-0.143513986,0.148205581,-0.639766419,0.142192641
g299,-0.280011771,-1.002092115,1.426540754,-0.587257597,-0.626961515,1.069782244
g300,2.025427242,-0.27356052,-0.565030561,-0.465695351,-0.476016069,-0.245124741
g326,-1.969174193,-0.116534453,0.627409444,0.468733591,0.548629256,0.440936354
g327,-0.997891819,-0.838313431,-0.22020416,1.478885002,0.959241349,-0.381716942
g328,-1.17766187,-0.155235415,1.547314887,0.090646953,0.60247834,-0.907542895
g329,-0.489204526,-0.996776326,-0.172554457,1.471147467,0.975597792,-0.78820995
g330,1.956557138,-0.733798615,-0.52575669,0.114680478,-0.320876563,-0.490805748
g331,2.009346565,-0.62995175,-0.576045468,-0.1581241,-0.341290866,-0.303934381
g332,2.005784185,-0.604637903,-0.56592466,-0.143048419,-0.470499961,-0.221673243
g333,1.546058185,-1.147822516,-1.056582232,0.178041423,0.120160307,0.360144834
g334,2.007838094,-0.497238585,-0.55856187,-0.475919278,-0.42447955,-0.051638811
g335,-0.716651153,-0.717099546,-0.717598961,0.348310201,-0.023260097,1.826299556
g336,-1.816851601,0.891109452,0.947150102,-0.003305021,-0.071124435,0.053021504
g337,-1.453428261,0.653557101,-0.66443552,1.03196665,-0.439772334,0.872112364
g338,-0.839668329,-0.743706598,-0.951987376,1.520347585,0.44044988,0.574564838
g339,1.482142536,-1.286368816,-0.52716828,0.683821477,-0.589062218,0.236635301
g340,-0.977479023,0.018849923,-0.073630293,0.27556525,1.734173166,-0.977479023
g341,1.856441517,-0.806726477,0.391006,-0.574821195,-0.58231678,-0.283583064
g342,-0.796383093,1.705555266,-0.520983486,-0.440723329,0.729763737,-0.677229095
g343,1.530476314,1.00056519,-0.576536622,-0.745937787,-0.740988854,-0.467578241
g344,-1.053628825,-0.634205971,-0.968174978,1.224316735,0.600819664,0.830873374
g345,-0.744583977,-0.620238804,-0.50918622,0.226500422,-0.270134009,1.917642588
g346,-0.701647405,0.948526606,1.578706018,-0.659693005,-0.603296993,-0.562595221
g347,-0.680103991,-0.700351202,0.702129531,-0.350116132,-0.690468547,1.71891034
g348,-1.072005533,0.925187748,1.344079192,-1.074752735,0.052070999,-0.174579672
g349,-0.751384631,-0.753209281,-0.753209281,1.747412494,0.497138461,0.013252237
g351,1.211904204,-1.801114857,-0.05953972,0.525376416,0.068670816,0.05470314
g352,-1.688065887,1.315262831,0.45628799,-0.076595752,-0.324713852,0.31782467
g353,1.235101916,0.406752238,-1.45778679,0.630092681,0.07014554,-0.884305585
g354,-0.999141222,-0.990967199,-0.56020826,0.705000077,0.419545123,1.425771481
g355,0.866632466,-1.299755576,-0.722435178,-0.407104823,0.210814821,1.35184829
g356,0.98971525,-1.386835705,-1.094519126,0.253005054,0.434846353,0.803788173
g357,1.79778102,-0.739174125,-1.092052201,0.10841802,-0.122521893,0.047549178
g358,1.772015326,-0.791259224,-0.803970783,0.561025228,-0.385787158,-0.352023388
g359,-0.420283324,-0.76940737,-1.132818334,1.314003653,-0.092802462,1.101307837
g360,-0.620743725,-0.404545081,-1.407092875,1.269554889,0.88411577,0.278711022
g361,2.030257398,-0.321518253,-0.559265952,-0.26357393,-0.446306486,-0.439592777
g362,1.974081728,-0.284288582,-0.748347457,-0.01588222,-0.333222281,-0.592341189
g363,1.969579784,-0.137104008,-0.031627904,-0.486469638,-0.673155708,-0.641222525
g364,1.396036975,-0.945023381,0.960637362,-0.845335235,-0.707562753,0.141247032
g365,-1.097840059,-1.019376353,-0.374726197,0.691391689,0.392247384,1.408303537
g383,-0.894915155,-0.883319571,-0.878292663,1.241964278,0.478692694,0.935870416
g385,0.381985315,-1.139076869,-1.253981596,1.280439406,0.16823395,0.562399794
g386,1.223588927,-0.175760257,-1.709739692,0.682725035,0.192569065,-0.213383077
g387,-1.28363397,-0.289398116,0.275330173,1.700901806,0.128834485,-0.532034378
g388,0.640571596,-0.949348568,-1.337256696,1.302738851,-0.096769876,0.440064693
g389,1.735418846,-1.198472868,-0.642077498,0.241680742,0.121446597,-0.257995819
g390,1.435112061,0.748609317,-1.316841562,-0.171230848,0.085004592,-0.78065356
g391,-0.729372749,-1.121163992,-0.058948806,1.532890531,-0.438945049,0.815540066
g392,-1.687131014,-0.342385376,0.402562106,1.307382082,0.39852638,-0.078954177
g393,-1.015758739,-0.937922594,-0.700803404,1.111216699,0.478573179,1.064694859
g394,2.041145464,-0.420021853,-0.408700861,-0.406519256,-0.391283008,-0.414620486
g395,0.966768969,-1.324322365,0.841222905,-0.685481326,-0.645292257,0.847104073
g396,-0.857930058,-0.492916912,-1.009275166,1.339709576,1.096256588,-0.075844029
g397,-1.247508402,-1.30217223,0.681926812,0.827476139,0.350963627,0.689314054
g398,-0.675738532,-1.161943468,1.565321648,0.773558224,-0.348171919,-0.153025952
g399,-0.879929096,1.257153968,0.954123592,0.018059478,-0.032769466,-1.316638476
g400,-0.654142503,-0.766319528,-0.824363399,1.788765196,0.199740911,0.256319324
g401,-0.910433641,-0.942447731,-0.308545151,0.630610004,-0.13412889,1.664945409
g402,1.70368623,-0.071127475,-1.428590926,0.058895367,-0.049258351,-0.213604844
g403,-1.188777277,-1.178279076,-0.096418578,0.861970999,0.514597255,1.086906677
g404,-1.553977691,1.128102584,-0.334828178,0.93908666,0.299803118,-0.478186494
g405,2.031692306,-0.494114274,-0.529169669,-0.361872085,-0.386911422,-0.259624856
g406,-0.794875326,-0.825945047,-0.519681985,1.629429077,-0.305837371,0.816910653
g407,1.145248322,-1.324004581,-0.593293195,0.603797317,0.860236803,-0.691984666
g408,2.014955965,-0.546923607,-0.15514445,-0.425653485,-0.298731263,-0.58850316
g409,0.040656686,-0.78705833,1.871008572,0.159212751,-0.521976617,-0.761843063
g410,1.984701854,-0.695042508,-0.575181475,-0.207723905,-0.447659921,-0.059094045
g411,1.360988058,-1.475763119,0.692686235,-0.693535151,0.02356988,0.092054097
g412,0.926673135,-1.545845136,-0.831095147,0.303723041,0.178689243,0.967854866
g413,1.428247867,0.542537503,0.624660919,-0.960827704,-0.907810637,-0.726807949
g414,0.648103765,-0.158687761,-1.840453561,1.058057611,0.095963431,0.197016515
g415,2.012510013,-0.564258225,-0.619910602,-0.379437805,-0.259069453,-0.189833927
g416,-0.146742718,-0.747834386,-1.406433839,1.196774794,0.105343234,0.998892916
g417,0.30127282,-1.400106595,-0.982240781,0.746267827,0.149537993,1.185268736
g418,2.027221419,-0.473564139,-0.195293906,-0.498587516,-0.499794435,-0.359981422
g419,2.007230881,-0.455463151,-0.049110467,-0.522998156,-0.552169808,-0.4274893
g420,2.039893243,-0.434607915,-0.375716348,-0.397268524,-0.464131667,-0.36816879
g421,-0.778306628,-0.817669974,-1.103720503,0.964396439,0.678228891,1.057071775
g422,1.763432054,0.21088771,-0.130766065,-0.79708732,-1.091493633,0.045027254
g423,1.832663623,-0.694876112,-0.682763523,-0.391550495,-0.549906106,0.486432614
g424,-0.516517259,-1.47377464,-0.23213527,1.125221216,-0.016754525,1.113960479
g425,0.666402732,-0.97454817,-0.609108115,-0.145994983,-0.619155318,1.682403853
g426,1.524484982,-1.172421053,-0.793745627,0.256953031,-0.449970938,0.634699605
g427,0.191419702,1.359449451,0.947310059,-1.078697431,-0.556758981,-0.8627228
g428,-0.901788952,-0.876996937,-0.872398635,1.164386582,0.430754198,1.056043743
g429,-0.038346756,-1.082320734,-0.921500716,0.66500187,-0.202322758,1.579489094
g430,-1.279640511,-0.774432921,-0.293525186,1.463857083,0.174251945,0.70948959
g431,-0.419688861,-1.152627391,-0.704668692,0.992528111,-0.128721213,1.413178047
g432,1.918947709,-0.372980379,-0.989372575,-0.200384614,-0.397274425,0.041064284
g433,1.677194934,-0.061981644,-1.321677333,0.421918066,-0.392312952,-0.32314107
g434,1.084983576,-1.273359541,-0.949116731,0.687549144,-0.377769928,0.827713481
g435,-0.369969808,-1.150078634,-0.763309815,1.614036448,0.588324173,0.080997636
g436,1.596755667,-0.822725144,-1.072496612,0.727981469,-0.237637216,-0.191878164
g437,-0.131446183,-1.141928119,-1.162535253,0.572357531,0.568989824,1.294562201
g438,-0.830262787,-0.843508826,-0.88351856,0.639196632,0.424987895,1.493105647
g439,0.412132328,-0.955542637,-1.483070493,1.067575907,0.23643032,0.722474575
g440,-0.252415886,1.860389795,-0.973909312,-0.627401798,0.254623508,-0.261286307
g441,0.425706137,-1.428693664,1.42774454,-0.193277809,-0.696689946,0.465210742
g442,0.263115229,-1.48858217,-0.109499018,0.039764013,-0.31742448,1.612626426
g443,-1.036693669,-1.292963611,0.297840583,0.383113301,0.250367778,1.398335617
g444,1.977973173,-0.687987462,-0.536697407,-0.47330866,-0.317522758,0.037543113
g445,0.922298537,-1.057220893,-0.663103065,0.014989574,-0.677394247,1.460430095
g446,2.040988052,-0.399536139,-0.381025917,-0.420141999,-0.420141999,-0.420141999
g447,1.216307395,1.121498237,0.235534458,-0.857904355,-0.856774696,-0.858661039
g448,0.166043526,-1.291756447,-0.354838154,-0.341009245,0.073356609,1.748203711
g449,-0.483325903,-0.189575252,-1.645099214,1.136385795,0.459227094,0.72238748
g450,1.909257884,-0.378693652,-0.182416317,-0.641815218,0.155100326,-0.861433024
g451,-0.230742377,1.422107826,-1.395547479,0.556436748,0.37394126,-0.726195979
g452,-0.538693934,1.073518619,-0.871100412,-0.369238974,1.451242165,-0.745727464
g453,1.672488409,-0.276554666,-1.208150254,-0.4680583,0.591976672,-0.311701861
g454,-0.039759073,-1.407289766,-0.88492389,1.033241615,0.246919939,1.051811175
g455,-1.027220092,-0.955865222,-0.103342192,0.605721863,-0.14206357,1.622769213
g456,-0.63423564,-1.092990948,-0.10078836,0.352130188,-0.30605093,1.781935691
g457,-0.341361583,-0.82399301,-1.364610554,0.79369253,0.547920213,1.188352403
g458,1.246390515,1.234833186,-0.443117113,-0.255363319,-1.079849357,-0.702893913
g459,-0.852275315,-0.321417246,-0.911357341,1.817675621,0.138996244,0.128378036
